model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,test_year,rebalance_date,base_unlevered_gross_return,portfolio_exposure,trailing_unlevered_annualized_vol,drawdown_before_rebalance,gross_return,transaction_cost,financing_cost,net_return,raw_universe_return,net_excess_vs_unlevered_universe,net_excess_vs_matched_exposure_universe,realized_return_ic,model_target_ic,turnover,risk_state,regime_is_confident,maximum_position_weight,holdings,risk_anchor,signal_blend,baseline_net_return,baseline_portfolio_exposure,equity_multiplier,cash_weight,cash_proxy,cash_proxy_return,cash_gross_return,cash_turnover,controller_transaction_cost,nav_before_rebalance,nav_after_rebalance,high_water_mark_after_rebalance,soft_floor_value_before_rebalance,cushion_ratio_before_rebalance,drawdown_budget_exposure_cap,drawdown_after_rebalance,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-01-04,0.1962685206308224,0.45,,0.0,0.0883208342838701,0.001,0.0,0.08732083428387011,0.0703097385607879,0.0175610957230821,0.0562314519315155,0.2583368045744406,0.2273785629191673,1.0,risk_off,True,0.0649884112208575,"AXTI,CVNA,EQT,NET,PLTR,QXO,SITM,STRL,THC,WDC",shrinkage_max_diversification,0.25,0.0878708342838701,0.45,1.0,0.55,BIL,0.0,0.0,0.55,0.00055,1.0,1.08732083428387,1.08732083428387,0.78,0.21999999999999997,0.6599999999999999,0.0,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-01-19,0.072752341744654,0.45,,0.0,0.0327385537850943,0.0005960990535247,0.0,0.03208230406592108,-0.0102749980550372,0.0424174527866067,0.0367662038563363,-0.0994496095446418,0.2417731730130608,0.5960990535247569,risk_off,True,0.0685606091442326,"CDE,CVNA,HL,MP,MRNA,NET,PLTR,SNOW,W,WDC",shrinkage_max_diversification,0.25,0.0321424547315695,0.45,1.0,0.55,BIL,-0.00010936484663348622,-6.015066564841743e-05,0.0,0.0,1.08732083428387,1.1222045919065762,1.1222045919065762,0.8481102507414187,0.21999999999999997,0.6599999999999999,0.0,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-02-02,0.0755772219319476,0.45,,0.0,0.0340097498693764,0.0005963891811309,0.0,0.033473517932981735,0.0580568547572818,-0.0246434940690363,0.0072877760474686,0.3293720349819347,0.1710547989549222,0.5963891811309222,risk_off,True,0.069152554008686,"CCJ,CDE,CVNA,ENPH,HL,INSM,MP,OXY,PAAS,PLTR",shrinkage_max_diversification,0.25,0.0334133606882455,0.45,1.0,0.55,BIL,0.00010937680861133892,6.015724473623641e-05,0.0,0.0,1.1222045919065762,1.1597687274382353,1.1597687274382353,0.8753195816871294,0.22,0.66,0.0,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-02-17,-0.0725888094305026,0.45,,0.0,-0.0326649642437261,0.0005048920302901,0.0,-0.03323000693966472,-0.017086850018389,-0.0160830062556272,-0.0254807737657412,0.0450866842353972,0.0158183881792518,0.504892030290146,risk_off,True,0.073380034844405,"BE,CDE,CELH,CLSK,ENPH,HL,INSM,NTRA,PAAS,RVMD",shrinkage_max_diversification,0.25,-0.0331698562740163,0.45,1.0,0.55,BIL,-0.00010936484663348622,-6.015066564841743e-05,0.0,0.0,1.1597687274382353,1.1212296045770567,1.1597687274382353,0.9046196074018236,0.22,0.66,-0.033230006939664714,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-03-03,0.0341327839490723,0.45,,-0.0331698562740163,0.0153597527770825,0.0006412967933617,0.0,0.0147184559837208,0.0428681995959505,-0.0281497436122297,-0.0045722338344569,-0.0233209998733542,-0.3167486979013101,0.6412967933617514,risk_off,True,0.0730969685249837,"AXTI,CDE,CELH,CLSK,HL,MSTR,MXL,ONDS,W,WULF",shrinkage_max_diversification,0.25,0.0147184559837208,0.45,1.0,0.55,BIL,0.0,0.0,0.0,0.0,1.1212296045770567,1.1377323731596687,1.1597687274382353,0.9046196074018236,0.19318968772407807,0.5795690631722342,-0.019000645350424117,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-03-17,-0.0920988139805151,0.6146773298990857,,-0.0189396093598509,-0.0920988139805151,0.000765119794455961,0.0,-0.05741820348943518,-0.0105374244438428,-0.082538231263787,-0.082538231263787,-0.4245636738510876,-0.2577711482708025,0.7651197944559761,risk_on,True,0.1593172472301939,"AXTI,BE,CVNA,MSTR,MXL,ONDS,PLTR,RKLB,TWLO,W",shrinkage_max_diversification,0.25,-0.0930756557076298,1.0,0.6146773298990857,0.38532267010091426,BIL,-0.00010907904939150281,-4.203063056360337e-05,0.1646773298990858,0.0001646773298990858,1.1377323731596687,1.0724058242410688,1.1597687274382353,0.9046196074018236,0.20489244329969525,0.6146773298990857,-0.07532786591869811,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-03-31,-0.0242105026147956,0.4693732905394818,0.5350758265873314,-0.1102524485074664,-0.0242105026147956,0.0008127624710269121,0.0,-0.012176525748948298,0.0358390067162177,-0.0614715298104918,-0.0614715298104918,-0.0389937157633493,-0.1367802756033185,0.8127624710269337,risk_on,True,0.1605362594109708,"AXTI,BE,CELH,ENPH,HIMS,HUT,MP,MSTR,ONDS,TSLA",shrinkage_max_diversification,0.25,-0.0256325230942741,1.0,0.4693732905394818,0.5306267094605182,BIL,0.0,0.0,0.1453040393596039,0.0001453040393596039,1.0724058242410688,1.0593476471088752,1.1597687274382353,0.9046196074018236,0.1564577635131606,0.4693732905394818,-0.08658715996867417,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-04-15,-0.0219927087190486,0.4381792137717827,0.501496310107071,-0.1330589231691725,-0.0219927087190486,0.00040214700238157844,0.0,-0.010100463222186612,0.0088693732781526,-0.0317086600957395,-0.0317086600957395,-0.1497753397179396,-0.3550078438848738,0.40214700238161694,risk_on,True,0.1646179284474567,"AXTI,BE,CELH,CLSK,ENPH,HUT,MARA,MP,MSTR,QXO",shrinkage_max_diversification,0.25,-0.0228392868175868,1.0,0.4381792137717827,0.5618207862282173,BIL,-0.0001095872671316167,-6.156840458048658e-05,0.03119407676769914,3.1194076767699145e-05,1.0593476471088752,1.048647745159742,1.1597687274382353,0.9046196074018236,0.14605973792392757,0.4381792137717827,-0.09581305276608365,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-04-29,-0.2132952138186493,0.4120396150834571,0.4724064429040263,-0.1528592390768594,-0.2132952138186493,0.000318634880662874,0.0,-0.0882688024981523,-0.0346012151550107,-0.1794038704120512,-0.1794038704120512,-0.304001814956624,-0.0144295177171685,0.31863488066287926,risk_on,True,0.1604949227813847,"BE,CELH,CLSK,ENPH,HIMS,HUT,MSTR,ONDS,QXO,RIOT",shrinkage_max_diversification,0.25,-0.2140050855670619,1.0,0.4120396150834571,0.5879603849165429,BIL,-0.00010900363043775396,-6.408981650948241e-05,0.026139598688325605,2.6139598688325604e-05,1.048647745159742,0.956084864452104,1.1597687274382353,0.9046196074018236,0.13734653836115238,0.4120396150834571,-0.1756245518328814,0.78,3.0,10.0
20,10,signal_shrinkage_max_diversification_blend_0.25,drawdown_budget_78_m3,,1.0,2021,2021-05-13,0.1833682961945147,0.16148751736522868,0.5907194970103063,-0.334151670105562,0.0825157332875316,0.0007146064508622995,0.0,0.028988495333972963,0.0473817677136585,0.0338408349200495,0.0599008071625617,0.3740547651377887,0.3854329487636347,0.7146064508623109,risk_off,True,0.0704949017416215,"CCJ,CDE,CELH,EQT,HL,MARA,MP,RIOT,SHOP,SITM",shrinkage_max_diversification,0.25,0.081222602633708,0.45,0.35886114970050814,0.8385124826347713,BIL,0.00010901551352460181,9.141086889121835e-05,0.2505520977182284,0.00025055209771822844,0.956084864452104,0.983800326084156,1.1597687274382353,0.9046196074018236,0.05382917245507623,0.16148751736522868,-0.151727148000247,0.78,3.0,10.0
