policy,model,observations,predictors,mean_net_excess_5d,alpha_5d,alpha_annualized_arithmetic,alpha_hac_standard_error,alpha_hac_t_stat,r_squared,adjusted_r_squared,share_mean_excess_remaining
baseline_equal_weight,A_fundamental,276,4,0.00666584759254796,-0.0027412770957553883,-0.13816036562607156,0.0027190040456202954,-1.008191620814603,0.5558602694010552,0.5493047014217349,-0.41124209002617773
baseline_equal_weight,B_technical,276,4,0.00666584759254796,-0.0004756119846420809,-0.023970844025960877,0.002592663200076035,-0.18344534092516632,0.5611824892426288,0.5547054780137377,-0.07135056390634975
baseline_equal_weight,C_combined,276,8,0.00666584759254796,-0.00214258596674778,-0.10798633272408811,0.0028491839503084694,-0.7519998722847682,0.5871239931816338,0.5747531764979374,-0.32142738594009707
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,276,4,0.003439720090138998,-0.001671676925201165,-0.08425251703013871,0.0017005857143954123,-0.9830006867930647,0.4657438926289005,0.457858193627113,-0.48599213930038504
turnover_buffer_inverse_volatility_risk_scaled,B_technical,276,4,0.003439720090138998,-0.00042138895545007043,-0.021238003354683548,0.0016957401381839403,-0.24849854406428018,0.4715157401297496,0.46371523444900786,-0.1225067576452252
turnover_buffer_inverse_volatility_risk_scaled,C_combined,276,8,0.003439720090138998,-0.0014692366705191147,-0.07404952819416338,0.0017225049454756957,-0.8529651391586355,0.49194181355703126,0.47671909636023824,-0.4271384391803065
