policy,comparator,iterations,block_length_rebalances,annualized_return_delta_mean,annualized_return_delta_ci95_lower,annualized_return_delta_ci95_upper,annualized_return_delta_probability_positive,sharpe_delta_mean,sharpe_delta_ci95_lower,sharpe_delta_ci95_upper,sharpe_delta_probability_positive,max_drawdown_delta_mean,max_drawdown_delta_ci95_lower,max_drawdown_delta_ci95_upper,max_drawdown_delta_probability_positive
diversified_trend_overlay_20,baseline_cash_yield,10000,6,-0.0069041965388345235,-0.040967547457627325,0.021168375175619383,0.352,-0.010587761629815003,-0.07538966456686663,0.04711227298440408,0.3776,0.00041273102964779583,-0.02410386133532361,0.022889814809855077,0.5293
regime_fixed_20,baseline_cash_yield,10000,6,0.010598237645607059,-0.013228510020085227,0.03462671258704209,0.8165,0.012408945750259484,-0.03809178629305669,0.06129995893522675,0.6988,0.0009865268984586369,-0.01906619518344288,0.021351638239240647,0.5215
regime_trend_20,baseline_cash_yield,10000,6,0.002232772037114136,-0.02968585749755066,0.030136425662810547,0.5817,0.004302058168588143,-0.05904227118237034,0.06561248791737578,0.5663,0.005035512030637186,-0.019661025028465014,0.03254253394589931,0.6624
strategic_diversified_10,baseline_cash_yield,10000,6,-0.045883463824089504,-0.12645163650924338,0.008181710130094798,0.0613,0.020349886439651157,-0.009213592669933036,0.049251178089452945,0.9135,0.03447947510623905,0.014715880807408727,0.054396822224521364,1.0
strategic_gold_10,baseline_cash_yield,10000,6,-0.03630255085690841,-0.1150057930250839,0.01711484205909007,0.1268,0.039648501445398616,-0.01158414891474221,0.08922899428008917,0.9368,0.03661345541013826,0.013981816061238354,0.06259058246483495,0.9997
strategic_oil_10,baseline_cash_yield,10000,6,-0.01379656722330607,-0.1041802057668532,0.05304357854240962,0.4003,0.08500254251068297,-0.013040643999536647,0.20217029346662133,0.955,0.048243233918288386,0.014325347946760091,0.10286151298312715,0.9991
