policy,period,num_rebalances,avg_net_portfolio_5d,avg_net_excess_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,avg_exposure,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown
baseline_equal_weight,overall,276,0.00532123765986362,0.0027507756305697245,0.005465180630519156,-0.016829949987432095,1.3942028985507249,0.0013942028985507247,1.0,0.13667360583743204,0.502994965253448,0.3361495637877381,-0.6457097112467354
baseline_equal_weight,2021,51,0.003007266283923402,-0.0017130601328257786,-0.0017368418570999507,-0.045117898441765725,1.3764705882352946,0.001376470588235294,1.0,-0.0039848219460980605,0.2673129283372939,-0.19017171995252283,-0.387427050554338
baseline_equal_weight,2022,51,0.00036773640745273146,0.0032062748651535333,0.014353090520307154,-0.04792306395910103,1.5647058823529412,0.0015647058823529414,1.0,-0.188047282808826,0.027122342910746715,0.3261307360727985,-0.3800132244559975
baseline_equal_weight,2023,50,0.004107522340924687,0.0003378311921752102,0.0030590169723728744,0.0074627157407013665,1.2720000000000002,0.0012720000000000003,1.0,0.1179063001467715,0.4636798983964919,0.05221941520106622,-0.4923929453898166
baseline_equal_weight,2024,51,0.009113029930243958,0.006238046617349439,0.005965671302877081,-0.021427730551759918,1.3333333333333333,0.001333333333333333,1.0,0.39864515634479236,0.901648923069008,0.7531463709907787,-0.20664363513166606
baseline_equal_weight,2025,50,0.0035103767327583145,0.0002309857812809224,-0.00040675082407671246,0.01679273865516631,1.408,0.0014080000000000002,1.0,0.04797778198902081,0.34603221891003383,0.02942020120516553,-0.41514449956387567
baseline_equal_weight,2026,23,0.019603346814590646,0.01462951724047393,0.01861298384079045,-0.0008667641626383668,1.4260869565217393,0.0014260869565217392,1.0,1.5090925782386027,2.748172823755496,2.2686600639651253,-0.1049444475719794
turnover_buffer_inverse_volatility_risk_scaled,overall,276,0.0029327512195293655,0.0014175770660248843,0.002684654794598198,-0.016829949987432095,0.7017761181718607,0.0007017761181718608,0.5327898550724639,0.10715731608381085,0.48360881485340573,0.29559154880044447,-0.40559319683022843
turnover_buffer_inverse_volatility_risk_scaled,2021,51,-0.0005655375086959469,-0.00251254591544323,-0.0010636959572492772,-0.045117898441765725,0.7044215100563025,0.0007044215100563026,0.5362745098039216,-0.08505164148433264,-0.08213492406520119,-0.4634247206030469,-0.29425940203166756
turnover_buffer_inverse_volatility_risk_scaled,2022,51,0.0002595801325479001,0.0015369224385132635,0.006524007843514321,-0.04792306395910103,0.6751360072407536,0.0006751360072407537,0.45,-0.03418873283215795,0.04167850262841618,0.3419732680860686,-0.2042703531163702
turnover_buffer_inverse_volatility_risk_scaled,2023,50,0.0030206199192858475,0.000600011173431433,0.0013378669813212344,0.0074627157407013665,0.5903166092271938,0.0005903166092271938,0.486,0.14287849459476587,0.7801789347318431,0.21989896860465843,-0.18231321763634345
turnover_buffer_inverse_volatility_risk_scaled,2024,51,0.0068269689993419955,0.005448930838974625,0.003628342827721161,-0.021427730551759918,0.7712722542784857,0.0007712722542784857,0.6352941176470588,0.32345395253502596,0.9266508285752844,0.8556096973016201,-0.15725975678610582
turnover_buffer_inverse_volatility_risk_scaled,2025,50,0.0022262094998570696,-0.0005987020134188126,0.0001423909109112444,0.01679273865516631,0.811352751815494,0.0008113527518154941,0.5940000000000001,0.06163009002899744,0.3448068457586638,-0.12119576927742463,-0.28392883904526645
turnover_buffer_inverse_volatility_risk_scaled,2026,23,0.009327229254350766,0.007089005945998245,0.00884480166452966,-0.0008667641626383668,0.6049748788237632,0.0006049748788237632,0.44999999999999984,0.574649594594592,2.7222922834901944,2.3213979918439596,-0.05292226548314849
