policy,factor,mean_invested_sleeve_exposure,mean_cash_scaled_exposure,cash_scaling_attenuation,mean_factor_coverage
baseline_equal_weight,leverage,-0.5148736170425507,-0.5148736170425507,1.0,0.8304347826086959
baseline_equal_weight,quality,-1.2069403120358306,-1.2069403120358306,1.0,0.8543478260869565
baseline_equal_weight,size,-1.830372378368906,-1.830372378368906,1.0,0.663768115942029
baseline_equal_weight,value,-0.6538845213396058,-0.6538845213396058,1.0,0.6224637681159421
turnover_buffer_inverse_volatility_risk_scaled,leverage,-0.5290419771785427,-0.2797054387205031,0.5287017869776848,0.8326417686044757
turnover_buffer_inverse_volatility_risk_scaled,quality,-1.1810798540236829,-0.6270404322654383,0.530904350056643,0.8611880005184784
turnover_buffer_inverse_volatility_risk_scaled,size,-1.769825720102942,-0.939029511452415,0.5305773900708124,0.6650191024831706
turnover_buffer_inverse_volatility_risk_scaled,value,-0.6271809336118558,-0.3300092826888726,0.5261787548106586,0.6253702961753311
