model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,pareto_return_sharpe_drawdown,top10_annualized_net_return,top10_net_sharpe,top10_net_sortino,top10_max_drawdown,top10_annualized_net_volatility,top10_avg_turnover,top10_avg_exposure,annualized_net_return_delta_vs_top10,net_sharpe_delta_vs_top10,net_sortino_delta_vs_top10,max_drawdown_delta_vs_top10,annualized_net_volatility_delta_vs_top10,avg_turnover_delta_vs_top10,avg_exposure_delta_vs_top10
20,10,equal_weight,static_1x,,1.0,overall,139,0.6733204069087542,1.0911263010272112,2.3806395125144366,-0.7706330106942669,0.8737238057089672,0.02901642234665584,0.002624454572086001,0.007458261943503612,1.3553956834532375,34.15597122302158,0.019713109678899342,0.0013553956834532375,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,10,15,0.6701459239387281,9.999999999999998,0.09999999999999999,False,0.6733204069087542,1.0911263010272112,2.3806395125144366,-0.7706330106942669,0.6701459239387281,1.3553956834532375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,legacy_risk_scaled,,1.0,overall,139,0.428110029075651,1.1308072354033507,2.115395876795119,-0.5711258140670186,0.7495897025334151,0.016988498168269608,0.002624454572086001,0.007458261943503612,0.7301438848920864,18.399625899280576,0.023267322467267666,0.0007301438848920865,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,10,15,0.3785880921496672,9.999999999999998,0.09999999999999999,False,0.428110029075651,1.1308072354033507,2.115395876795119,-0.5711258140670186,0.3785880921496672,0.7301438848920864,0.5341726618705037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,vol_target_20pct_max_1p25,0.2,1.25,overall,139,0.3879857851348867,1.1143425499836281,2.4689481720476336,-0.5110482515584063,0.7591959936302509,0.015403247501531466,0.002624454572086001,0.007458261943503612,0.7071942446043167,17.82129496402878,0.02177090867515592,0.0007071942446043166,0.0,0.5215827338129496,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,15,0.3483325993827444,9.999999999999998,0.09999999999999999,False,0.3879857851348867,1.1143425499836281,2.4689481720476336,-0.5110482515584063,0.3483325993827444,0.7071942446043167,0.5215827338129496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,regime_dd_vol_target_20pct_max_1p25,0.2,1.25,overall,139,0.36276587762099965,1.0804527930026075,2.3525668586884256,-0.5010064769207914,0.7240742272446761,0.014556685162434534,0.002624454572086001,0.007458261943503612,0.6915827338129497,17.427884892086333,0.020815255544046236,0.0006915827338129496,0.0,0.5089928057553957,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,15,0.3395136450838579,9.999999999999998,0.09999999999999999,False,0.36276587762099965,1.0804527930026075,2.3525668586884256,-0.5010064769207914,0.3395136450838579,0.6915827338129497,0.5089928057553957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,vol_target_20pct_max_1p50,0.2,1.5,overall,139,0.3879857851348867,1.1143425499836281,2.4689481720476336,-0.5110482515584063,0.7591959936302509,0.015403247501531466,0.002624454572086001,0.007458261943503612,0.7071942446043167,17.82129496402878,0.02177090867515592,0.0007071942446043166,0.0,0.5215827338129496,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,15,0.3483325993827444,9.999999999999998,0.09999999999999999,False,0.3879857851348867,1.1143425499836281,2.4689481720476336,-0.5110482515584063,0.3483325993827444,0.7071942446043167,0.5215827338129496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,regime_dd_vol_target_20pct_max_1p50,0.2,1.5,overall,139,0.36276587762099965,1.0804527930026075,2.3525668586884256,-0.5010064769207914,0.7240742272446761,0.014556685162434534,0.002624454572086001,0.007458261943503612,0.6915827338129497,17.427884892086333,0.020815255544046236,0.0006915827338129496,0.0,0.5089928057553957,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,15,0.3395136450838579,9.999999999999998,0.09999999999999999,False,0.36276587762099965,1.0804527930026075,2.3525668586884256,-0.5010064769207914,0.3395136450838579,0.6915827338129497,0.5089928057553957,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.390826150885607,1.1176585421643763,2.4788561250817533,-0.5116041704273231,0.763922918296708,0.015500331176537574,0.002624454572086001,0.007458261943503612,0.708506873115536,17.854373202511507,0.021889659550223303,0.0007085068731155358,0.0,0.5223859396762905,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,15,0.3494880868465633,9.999999999999998,0.09999999999999999,False,0.390826150885607,1.1176585421643763,2.4788561250817533,-0.5116041704273231,0.3494880868465633,0.708506873115536,0.5223859396762905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.36506134844854143,1.0830596697459924,2.359655961515393,-0.502566128371182,0.7263946530413941,0.014637680319807068,0.002624454572086001,0.007458261943503612,0.6925623648196877,17.452571593456128,0.02091733854198437,0.0006925623648196878,0.0,0.5096049807317448,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,15,0.34058099877880993,9.999999999999998,0.09999999999999999,False,0.36506134844854143,1.0830596697459924,2.359655961515393,-0.502566128371182,0.34058099877880993,0.6925623648196877,0.5096049807317448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,vol_target_25pct_max_1p50,0.25,1.5,overall,139,0.390826150885607,1.1176585421643763,2.4788561250817533,-0.5116041704273231,0.763922918296708,0.015500331176537574,0.002624454572086001,0.007458261943503612,0.708506873115536,17.854373202511507,0.021889659550223303,0.0007085068731155358,0.0,0.5223859396762905,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,15,0.3494880868465633,9.999999999999998,0.09999999999999999,False,0.390826150885607,1.1176585421643763,2.4788561250817533,-0.5116041704273231,0.3494880868465633,0.708506873115536,0.5223859396762905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,regime_dd_vol_target_25pct_max_1p50,0.25,1.5,overall,139,0.36506134844854143,1.0830596697459924,2.359655961515393,-0.502566128371182,0.7263946530413941,0.014637680319807068,0.002624454572086001,0.007458261943503612,0.6925623648196877,17.452571593456128,0.02091733854198437,0.0006925623648196878,0.0,0.5096049807317448,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,15,0.34058099877880993,9.999999999999998,0.09999999999999999,False,0.36506134844854143,1.0830596697459924,2.359655961515393,-0.502566128371182,0.34058099877880993,0.6925623648196877,0.5096049807317448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,10,equal_weight,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.3876799198854657,1.0760691080770002,2.2421607424593475,-0.5508253479981627,0.7038164116709437,0.01565019701680651,0.002624454572086001,0.007458261943503612,0.7398273029198523,18.643648033580277,0.020794209330019017,0.0007398273029198522,0.0,0.543617593239216,0.5,1.0,0.0,0.9568345323741008,0.5539568345323741,10,15,0.36650523824470116,9.999999999999998,0.09999999999999999,False,0.3876799198854657,1.0760691080770002,2.2421607424593475,-0.5508253479981627,0.36650523824470116,0.7398273029198523,0.543617593239216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
