policy,comparison,num_rebalances_delta,avg_net_portfolio_5d_delta,avg_net_excess_5d_delta,avg_long_short_5d_delta,avg_spearman_ic_delta,avg_turnover_delta,avg_transaction_cost_delta,avg_exposure_delta,annualized_net_return_delta,net_sharpe_delta,excess_sharpe_delta,max_drawdown_delta
baseline_equal_weight,liquidity_segmented_minus_liquid500,0.0,-0.0063654306611401,-0.0039150719619782,0.0025899639652364995,-0.0196962501072082,0.09637681159420297,9.637681159420006e-05,0.0,-0.3502101067231829,-0.44152214913619436,-0.3368247499568189,0.12259661120473453
turnover_buffer_inverse_volatility_risk_scaled,liquidity_segmented_minus_liquid500,0.0,-0.0035124230934429,-0.0020221430241141,0.0009148649003848999,-0.0196962501072082,0.05517329160485818,5.5173291604800035e-05,0.0,-0.1926885794343871,-0.43146805219190476,-0.3239754705623477,0.17303906237350092
baseline_equal_weight,liquidity_segmented_minus_broad_pit,0.0,-0.0026674065846224995,-0.0026674065846224995,0.0009074754346724999,0.0015204776535199978,-0.006521739130434634,-6.521739130400115e-06,0.0,-0.1550798437210164,-0.23928660111531397,-0.3134969269337714,0.043102514520835467
turnover_buffer_inverse_volatility_risk_scaled,liquidity_segmented_minus_broad_pit,0.0,-0.0015818364831256,-0.0015818364831256,0.0009927407400225998,0.0015204776535199978,0.0006792215208941688,6.792215208999966e-07,0.0,-0.09214964965832051,-0.26411221658052875,-0.34001269875545787,0.01247454532701292
