model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight
20,10,equal_weight,static_1x,,1.0,2021,26,-0.12283830234330462,0.04386382606739496,0.059710523943128355,-0.4150412160651139,-0.2959665151039676,0.0009655661117701722,-0.04151941140090673,-0.054243463635006,1.146153846153846,28.88307692307692,-0.004252950704333014,0.0011461538461538462,0.0,1.0,1.0,1.0,0.0,0.0,0.5,10,15,0.5547228365173348,9.999999999999998,0.10000000000000002
20,10,equal_weight,static_1x,,1.0,2022,26,-0.450855658954073,-0.4689774016304322,-1.2969739148361865,-0.5150349833686614,-0.8753884173171808,-0.013806187569882345,-0.08470086902554524,-0.08391591623005151,1.2923076923076924,32.566153846153846,-0.013844301696907948,0.0012923076923076924,0.0,1.0,1.0,1.0,0.0,0.0,0.3076923076923077,10,15,0.7418607496896044,9.999999999999998,0.10000000000000002
20,10,equal_weight,static_1x,,1.0,2023,25,2.374734202438682,1.8952331681687016,5.996276809102483,-0.3797487422511169,6.25343533295586,0.06029912175269698,0.06177551873293561,0.057163221451042814,1.2960000000000003,32.659200000000006,0.07271256498746698,0.0012959999999999998,0.0,1.0,1.0,1.0,0.0,0.0,0.6,10,15,0.8017682962124607,9.999999999999998,0.10000000000000002
20,10,equal_weight,static_1x,,1.0,2024,26,0.9034232138692218,1.3526395825027078,2.8606384796232813,-0.25643566143643826,3.5230014765054425,0.03287245298614959,-0.017673314871082705,-0.00026514577724847207,1.4461538461538466,36.44307692307693,0.02478998180576638,0.001446153846153846,0.0,1.0,1.0,1.0,0.0,0.0,0.6153846153846154,10,15,0.6124216871712841,9.999999999999998,0.10000000000000002
20,10,equal_weight,static_1x,,1.0,2025,25,2.8335419401164503,2.8537114742611425,4.630073448454289,-0.201070104779008,14.0923084673912,0.059910795441823116,0.09019189801549282,0.10917532406885332,1.4880000000000002,37.497600000000006,0.07556595462420128,0.001488,0.0,1.0,1.0,1.0,0.0,0.0,0.8,10,15,0.5290485946988855,9.999999999999998,0.10000000000000002
20,10,equal_weight,static_1x,,1.0,2026,11,1.4401906122361416,1.5031240454843353,2.956197077398763,-0.3063530294317729,4.701081673347327,0.04610974150847144,0.027895204049558718,0.04338840353177768,1.6181818181818182,40.778181818181814,0.03531767597333146,0.001618181818181818,0.0,1.0,1.0,1.0,0.0,0.0,0.5454545454545454,10,15,0.7730336624606872,9.999999999999998,0.1
20,10,equal_weight,legacy_risk_scaled,,1.0,2021,26,-0.2509635869267407,-0.6166531651785159,-0.6195373684180198,-0.39628709791265426,-0.6332873016775723,-0.00870094736721485,-0.04151941140090673,-0.054243463635006,0.6257692307692309,15.769384615384617,-0.015914608784536877,0.0006257692307692307,0.0,0.5346153846153846,0.45,1.0,0.0,0.8461538461538461,0.5,10,15,0.35557082333363066,9.999999999999998,0.10000000000000002
20,10,equal_weight,legacy_risk_scaled,,1.0,2022,26,-0.18847889456194378,-0.46897740163043217,-1.2969739148361865,-0.25885623923287093,-0.7281218915970782,-0.006212784406447055,-0.08470086902554524,-0.08391591623005151,0.5815384615384616,14.654769230769231,-0.012861266635725146,0.0005815384615384616,0.0,0.44999999999999996,0.45,0.45,0.0,1.0,0.3076923076923077,10,15,0.333837337360322,9.999999999999998,0.10000000000000002
20,10,equal_weight,legacy_risk_scaled,,1.0,2023,25,1.1206716620292232,2.0816204357017654,7.321028072096739,-0.18848059683550034,5.945819786464856,0.03312942509289484,0.06177551873293561,0.057163221451042814,0.6240000000000001,15.724800000000002,0.07126778477495568,0.000624,0.0,0.486,0.45,0.75,0.0,1.0,0.6,10,15,0.4010632764851282,9.999999999999998,0.10000000000000002
20,10,equal_weight,legacy_risk_scaled,,1.0,2024,26,0.8026581200267442,1.5606391246367615,3.8474607878474445,-0.1198764669189546,6.69571051480355,0.027106317615878225,-0.017673314871082705,-0.00026514577724847207,0.9165384615384617,23.096769230769237,0.03475196517777269,0.0009165384615384617,0.0,0.6423076923076922,0.45,1.0,0.0,0.6923076923076923,0.6153846153846154,10,15,0.4376919642323576,9.999999999999998,0.10000000000000002
