policy,period,num_rebalances,avg_net_portfolio_5d,avg_net_excess_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,avg_exposure,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown
baseline_equal_weight,overall,274,0.009784586127241028,0.004791900116088019,-8.190058353708698e-05,0.002024433892319128,1.3058394160583942,0.0013058394160583942,1.0,0.34325259802151686,0.7765690257576232,0.48212865387886894,-0.8211203719209714
baseline_equal_weight,2021,51,0.0006163422011122049,-0.005055636028919001,-0.013773507779613295,-0.03745125688367744,1.2078431372549023,0.0012078431372549018,1.0,-0.09684852177655001,0.06052821862401086,-0.6167800615769479,-0.4201896556184701
baseline_equal_weight,2022,50,-0.011230841958880461,-0.008996535987151949,-0.00018932237408351675,-0.041776589762365444,1.2080000000000002,0.001208,1.0,-0.5946925575609,-0.6877857795602134,-0.7364527212314057,-0.641895669974792
baseline_equal_weight,2023,50,0.005555629195388803,-0.000872193010039678,-0.024550066876364237,0.02749825715563463,1.2400000000000002,0.00124,1.0,0.14446869422704256,0.5095039571412852,-0.10687767273856429,-0.4983543722239656
baseline_equal_weight,2024,50,0.02524997879091692,0.01844564535592114,0.01742147195040964,0.003998558898224247,1.3880000000000001,0.0013880000000000003,1.0,1.9141822655315397,1.956354025672673,1.7003638012737925,-0.2219484065125168
baseline_equal_weight,2025,50,0.020460265690343378,0.013462676958806256,0.01830035807088577,0.06192128646922315,1.3479999999999999,0.001348,1.0,1.3147056671257524,1.6780016361737327,1.3800409105294666,-0.3196439524616782
baseline_equal_weight,2026,23,0.02816485046603856,0.02038427840896516,0.005690699927336253,-0.005102897846645113,1.608695652173913,0.0016086956521739132,1.0,2.530900950514835,2.509431843621035,2.184990370257164,-0.1390082622226012
turnover_buffer_inverse_volatility_risk_scaled,overall,274,0.006536186131417696,0.0035694208594563076,0.0011612810593980734,0.002024433892319128,0.6509372212655038,0.0006509372212655037,0.5313868613138687,0.2963261284073897,0.8606257594200525,0.596451726023775,-0.5406762688323898
turnover_buffer_inverse_volatility_risk_scaled,2021,51,-0.004037407604889201,-0.006591978688936179,-0.010282557622114247,-0.03745125688367744,0.564104111397868,0.0005641041113978679,0.5362745098039216,-0.22912964053405527,-0.6177648838978544,-1.231415215909826,-0.40098164219999866
turnover_buffer_inverse_volatility_risk_scaled,2022,50,-0.0040058881996673824,-0.003000450512389552,0.0009397613206003868,-0.041776589762365444,0.5205657071091432,0.0005205657071091433,0.45,-0.2362824500743047,-0.5440561257560378,-0.5511303220833974,-0.27662200679475135
turnover_buffer_inverse_volatility_risk_scaled,2023,50,0.00533077793662454,0.001910780367463844,-0.009926157302277751,0.02749825715563463,0.5762245433133181,0.000576224543313318,0.486,0.2593786062921861,0.9502017001485804,0.45266837671845195,-0.2274361950761573
turnover_buffer_inverse_volatility_risk_scaled,2024,50,0.018329669927113653,0.014000952846227623,0.01225037285033965,0.003998558898224247,0.8185530571042561,0.0008185530571042561,0.628,1.1993525541292978,1.6769364228574177,1.5572282501064183,-0.13197933903753267
turnover_buffer_inverse_volatility_risk_scaled,2025,50,0.014500499914216139,0.00920214410817874,0.012492125045988189,0.06192128646922315,0.7767264233325589,0.0007767264233325589,0.5940000000000001,0.938372867075969,2.0003924468344167,1.7390655354177167,-0.2178430166469002
turnover_buffer_inverse_volatility_risk_scaled,2026,23,0.012568252562758729,0.00906699513707569,0.0023824501421902088,-0.005102897846645113,0.6514783653257804,0.0006514783653257804,0.44999999999999984,0.8245531158845443,2.534982007161191,2.1742522987397557,-0.04694514299923602
