policy,model,coefficient,estimate,hac_standard_error,hac_t_stat
baseline_equal_weight,A_fundamental,intercept,-0.0027412770957553883,0.0027190040456202954,-1.008191620814603
baseline_equal_weight,A_fundamental,size,-0.33357911794296535,0.2200428122328782,-1.5159737078343105
baseline_equal_weight,A_fundamental,value,-0.10689951756125277,0.18612196953600949,-0.5743519576315823
baseline_equal_weight,A_fundamental,quality,-1.0134882715020517,0.19284246965916615,-5.255524228108633
baseline_equal_weight,A_fundamental,leverage,-0.42500690329261315,0.2005796996404181,-2.1188929091753983
baseline_equal_weight,B_technical,intercept,-0.0004756119846420809,0.002592663200076035,-0.18344534092516632
baseline_equal_weight,B_technical,beta,-0.633207964755973,0.1526007217344917,-4.149442791349863
baseline_equal_weight,B_technical,momentum,0.014225906947897271,0.14478687134468124,0.09825412218509037
baseline_equal_weight,B_technical,low_volatility,-1.6576299550901938,0.17699575012886495,-9.365365856995586
baseline_equal_weight,B_technical,reversal,0.24351972497397983,0.16000788029362198,1.5219233235707497
baseline_equal_weight,C_combined,intercept,-0.00214258596674778,0.0028491839503084694,-0.7519998722847682
baseline_equal_weight,C_combined,size,-0.17821822151941435,0.3024009703786939,-0.5893440794724744
baseline_equal_weight,C_combined,value,-0.10725776295632619,0.18035661890267027,-0.5946982351349579
baseline_equal_weight,C_combined,quality,-0.6945359271736053,0.21974597173043303,-3.1606309854253305
baseline_equal_weight,C_combined,leverage,-0.12781582422937598,0.22259923278792737,-0.5741970564253807
baseline_equal_weight,C_combined,beta,-0.5576990296064257,0.1623908703579839,-3.4343003912535317
baseline_equal_weight,C_combined,momentum,-0.034787703052904545,0.15069070135636053,-0.2308550079054774
baseline_equal_weight,C_combined,low_volatility,-0.9918616929885821,0.25162422901473575,-3.941836987925738
baseline_equal_weight,C_combined,reversal,0.22102216998480992,0.1588333090035148,1.3915353861948374
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,intercept,-0.001671676925201165,0.0017005857143954123,-0.9830006867930647
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,size,-0.22930032072208661,0.1195370207146999,-1.918236872151597
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,value,-0.012707316303455868,0.09613995995942383,-0.1321751778221983
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,quality,-0.503041329887354,0.1143951153075168,-4.397402183957584
turnover_buffer_inverse_volatility_risk_scaled,A_fundamental,leverage,-0.19703781958331068,0.11828950665230398,-1.665725263040252
turnover_buffer_inverse_volatility_risk_scaled,B_technical,intercept,-0.00042138895545007043,0.0016957401381839403,-0.24849854406428018
turnover_buffer_inverse_volatility_risk_scaled,B_technical,beta,-0.24286124428741246,0.09514949010017441,-2.5524177169181415
turnover_buffer_inverse_volatility_risk_scaled,B_technical,momentum,0.08853384952611441,0.07862989970613246,1.1259565363430004
turnover_buffer_inverse_volatility_risk_scaled,B_technical,low_volatility,-0.7689234333232126,0.10098993554663012,-7.613862006755884
turnover_buffer_inverse_volatility_risk_scaled,B_technical,reversal,0.18117219497891618,0.08284814095961131,2.1867985555311145
turnover_buffer_inverse_volatility_risk_scaled,C_combined,intercept,-0.0014692366705191147,0.0017225049454756957,-0.8529651391586355
turnover_buffer_inverse_volatility_risk_scaled,C_combined,size,-0.12238837974910809,0.15572627162480027,-0.7859199252132937
turnover_buffer_inverse_volatility_risk_scaled,C_combined,value,0.02649349729657488,0.09549431742733436,0.27743532819882083
turnover_buffer_inverse_volatility_risk_scaled,C_combined,quality,-0.34961908756923443,0.1483894462671472,-2.3560913283537106
turnover_buffer_inverse_volatility_risk_scaled,C_combined,leverage,-0.07209367252612409,0.1413672804627145,-0.5099742478609733
turnover_buffer_inverse_volatility_risk_scaled,C_combined,beta,-0.21338143055214986,0.1122851158610196,-1.900353656991028
turnover_buffer_inverse_volatility_risk_scaled,C_combined,momentum,0.07625101104464278,0.07856596097899535,0.9705349504351959
turnover_buffer_inverse_volatility_risk_scaled,C_combined,low_volatility,-0.45124622148196997,0.18426727475310026,-2.4488679397174287
turnover_buffer_inverse_volatility_risk_scaled,C_combined,reversal,0.17790825858642728,0.08237736281158702,2.1596741205874475
