model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,pareto_return_sharpe_drawdown
20,10,buffer_inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.3059269786672585,0.9669843821475316,1.4964262322297555,-0.5565991726226949,0.5496360643615958,0.0128612913688665,0.002624454572086001,0.007458261943503612,0.645295469897453,16.261445841415817,0.018813024478309407,0.0006452954698974531,6.644996405727463e-07,0.6666497378837483,0.5,1.0465521868199643,0.007194244604316547,0.9496402877697842,0.60431654676259,30,45,0.335170400348811,27.442415102016287,0.056814245106066204,False
20,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.3012523947988499,1.033060235614424,1.6930435688892849,-0.5016338795144886,0.6005423618724081,0.012253977072517915,0.002624454572086001,0.007458261943503612,0.5879293916906347,14.815820670603996,0.0203331561238834,0.0005879293916906347,6.644996405727463e-07,0.6021572963315792,0.5,1.0465521868199643,0.007194244604316547,0.9856115107913669,0.60431654676259,30,45,0.2989179251912538,27.442415102016287,0.056814245106066204,False
20,10,buffer_inverse_volatility,vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.3059269786672585,0.9669843821475316,1.4964262322297555,-0.5565991726226949,0.5496360643615958,0.0128612913688665,0.002624454572086001,0.007458261943503612,0.645295469897453,16.261445841415817,0.018813024478309407,0.0006452954698974531,6.644996405727463e-07,0.6666497378837483,0.5,1.0465521868199643,0.007194244604316547,0.9496402877697842,0.60431654676259,30,45,0.335170400348811,27.442415102016287,0.056814245106066204,False
20,10,buffer_inverse_volatility,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.3012523947988499,1.033060235614424,1.6930435688892849,-0.5016338795144886,0.6005423618724081,0.012253977072517915,0.002624454572086001,0.007458261943503612,0.5879293916906347,14.815820670603996,0.0203331561238834,0.0005879293916906347,6.644996405727463e-07,0.6021572963315792,0.5,1.0465521868199643,0.007194244604316547,0.9856115107913669,0.60431654676259,30,45,0.2989179251912538,27.442415102016287,0.056814245106066204,False
20,10,equal_weight,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.29287381856803796,0.9394332078505195,1.373955559469285,-0.5627663848370394,0.5204181103547,0.012462349370928251,0.002624454572086001,0.007458261943503612,0.7176791283026044,18.08551403322563,0.01619383435991853,0.0007176791283026044,1.1041988351913097e-06,0.7383155797683876,0.5240163708751414,1.053391522168725,0.02158273381294964,0.935251798561151,0.6187050359712231,50,75,0.3342985978385416,50.0,0.02,False
20,10,equal_weight,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.3081247523951882,1.1009492231790812,1.8277755750916436,-0.4444014667543411,0.6933477394788061,0.01225198171055053,0.002624454572086001,0.007458261943503612,0.6184123538860187,15.583991317927671,0.019771876543637733,0.0006184123538860186,2.76905187225612e-07,0.6332210624778059,0.5,1.0193988697962775,0.007194244604316547,0.9856115107913669,0.6187050359712231,50,75,0.2804397628932718,50.0,0.02,True
20,10,equal_weight,vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.29287381856803796,0.9394332078505195,1.373955559469285,-0.5627663848370394,0.5204181103547,0.012462349370928251,0.002624454572086001,0.007458261943503612,0.7176791283026044,18.08551403322563,0.01619383435991853,0.0007176791283026044,1.1041988351913097e-06,0.7383155797683876,0.5240163708751414,1.053391522168725,0.02158273381294964,0.935251798561151,0.6187050359712231,50,75,0.3342985978385416,50.0,0.02,False
20,10,equal_weight,regime_dd_vol_target_30pct_max_1p50,0.3,1.5,overall,139,0.3081247523951882,1.1009492231790812,1.8277755750916436,-0.4444014667543411,0.6933477394788061,0.01225198171055053,0.002624454572086001,0.007458261943503612,0.6184123538860187,15.583991317927671,0.019771876543637733,0.0006184123538860186,2.76905187225612e-07,0.6332210624778059,0.5,1.0193988697962775,0.007194244604316547,0.9856115107913669,0.6187050359712231,50,75,0.2804397628932718,50.0,0.02,True
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.24247145563028916,0.9138298144167636,1.3578505589018977,-0.4866065414995254,0.49829057966029344,0.010230022851337655,0.002624454572086001,0.007458261943503612,0.5890492221212986,14.844040397456725,0.01633459955227773,0.0005890492221212986,4.6160247848575264e-07,0.6682066430716596,0.5,1.0285430737901513,0.014388489208633094,0.9424460431654677,0.60431654676259,50,75,0.28210567414923227,44.96083169505976,0.03590534003498226,False
20,10,buffer_inverse_volatility,vol_target_25pct_max_1p50,0.25,1.5,overall,139,0.24247145563028916,0.9138298144167636,1.3578505589018977,-0.4866065414995254,0.49829057966029344,0.010230022851337655,0.002624454572086001,0.007458261943503612,0.5890492221212986,14.844040397456725,0.01633459955227773,0.0005890492221212986,4.6160247848575264e-07,0.6682066430716596,0.5,1.0285430737901513,0.014388489208633094,0.9424460431654677,0.60431654676259,50,75,0.28210567414923227,44.96083169505976,0.03590534003498226,False
