model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,breadth_top_n,buffer_rank,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,pareto_return_sharpe_drawdown
20,10,equal_weight,static_1x,,1.0,overall,139,0.6733204069087542,1.0911263010272112,2.3806395125144366,-0.7706330106942669,0.8737238057089672,0.02901642234665584,0.002624454572086001,0.007458261943503612,1.3553956834532375,34.15597122302158,0.019713109678899342,0.0013553956834532375,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,10,15,0.6701459239387281,9.999999999999998,0.09999999999999999,False
20,10,buffer_inverse_volatility,static_1x,,1.0,overall,139,0.7448254695982648,1.1697988080365898,2.502171915883131,-0.7527126684014007,0.9895216340388071,0.030244042140708135,0.002624454572086001,0.007458261943503612,1.2616649189693598,31.793955958027865,0.023426637143912847,0.0012616649189693596,0.0,1.0,1.0,1.0,0.0,0.0,0.5683453237410072,10,15,0.6515221734796005,9.410015757510605,0.13893429172878594,True
20,10,equal_weight,static_1x,,1.0,overall,139,0.5451146844162564,1.0470231918687425,2.0169246371188545,-0.7650950873664673,0.712479655689066,0.02357092157590989,0.002624454572086001,0.007458261943503612,1.1618705035971224,29.279136690647483,0.018617853735775625,0.0011618705035971223,0.0,1.0,1.0,1.0,0.0,0.0,0.5539568345323741,20,30,0.5673104744248999,19.999999999999996,0.049999999999999996,False
20,10,buffer_inverse_volatility,static_1x,,1.0,overall,139,0.5992187294775237,1.1165391324537908,2.077892039104305,-0.7219220893350959,0.8300324070003394,0.024811721694166997,0.002624454572086001,0.007458261943503612,1.0630309005221725,26.788378693158748,0.022368607534675216,0.0010630309005221722,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,20,30,0.5599941538268344,18.598519904954053,0.07710636570155203,True
20,10,equal_weight,static_1x,,1.0,overall,139,0.499198126672467,1.0425017783924095,1.86172428084792,-0.7207303580761282,0.6926281390518845,0.02134658694262836,0.002624454572086001,0.007458261943503612,1.0575539568345325,26.650359712230216,0.018731384193789252,0.0010575539568345323,0.0,1.0,1.0,1.0,0.0,0.0,0.5827338129496403,30,45,0.5160029480081618,30.0,0.03333333333333333,True
20,10,buffer_inverse_volatility,static_1x,,1.0,overall,139,0.4929321387476808,1.0544540943034255,1.8802416752749758,-0.7247555207176825,0.6801357487550551,0.020827393480123888,0.002624454572086001,0.007458261943503612,0.9714135783613613,24.479622174706304,0.020136427565332505,0.0009714135783613615,0.0,1.0,1.0,1.0,0.0,0.0,0.60431654676259,30,45,0.4977460076589102,27.442415102016287,0.056814245106066204,False
20,10,equal_weight,static_1x,,1.0,overall,139,0.4479850944287489,1.0488663931626179,1.8085896121962028,-0.6799537760189148,0.6588463954883411,0.018738536947922952,0.002624454572086001,0.007458261943503612,0.958273381294964,24.14848920863309,0.01855126797201848,0.0009582733812949641,0.0,1.0,1.0,1.0,0.0,0.0,0.6187050359712231,50,75,0.45021094599457345,50.0,0.02,True
20,10,buffer_inverse_volatility,static_1x,,1.0,overall,139,0.39501038278791545,0.9968542546246154,1.7165021995160918,-0.6646707524352296,0.5942948164044697,0.01682173133549693,0.002624454572086001,0.007458261943503612,0.8696775585516647,21.91587447550195,0.018023938913752532,0.0008696775585516647,0.0,1.0,1.0,1.0,0.0,0.0,0.60431654676259,50,75,0.42524534322638086,44.96083169505976,0.03590534003498226,False
20,10,equal_weight,static_1x,,1.0,overall,139,0.4087398509510902,1.0565129256841106,1.843035481766301,-0.622409215360508,0.6567059755282423,0.016828233966801366,0.002624454572086001,0.007458261943503612,0.8700239808153477,21.924604316546763,0.018642975036161056,0.0008700239808153477,0.0,1.0,1.0,1.0,0.0,0.0,0.5971223021582733,75,113,0.40138789186019735,74.99999999999999,0.013333333333333334,False
20,10,buffer_inverse_volatility,static_1x,,1.0,overall,139,0.35611968619541146,1.0125276808540618,1.6800928709665017,-0.592019762179576,0.601533443553174,0.014828088657212317,0.002624454572086001,0.007458261943503612,0.737689457715443,18.589774334429165,0.01915675143704464,0.0007376894577154432,0.0,1.0,1.0,1.0,0.0,0.0,0.5899280575539568,75,113,0.369044561672194,67.18198460241598,0.02371463712596976,False
