period,num_rebalances,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown,configuration,portfolio_mode
overall,276,0.012984494407960286,0.011686668321003763,0.005020820728455801,0.006665847592547961,0.010170374814478864,0.00281411959348142,0.002866300119776227,1.297826086956522,0.0012978260869565218,0.5434782608695652,0.5,0.4868837125606149,0.9445171143896423,0.672974313744557,-0.7683063224514699,technical_only,baseline_equal_weight
2021,51,0.0018241853383671066,0.0006163422011122049,0.005671978230031205,-0.0050556360289190005,0.015545889483606877,-0.013721704145239768,-0.03745125688367744,1.2078431372549023,0.0012078431372549018,0.5686274509803921,0.45098039215686275,-0.09684852177655001,0.06052821862401086,-0.6167800615769478,-0.4201896556184701,technical_only,baseline_equal_weight
2022,51,-0.011712913218395172,-0.012936442630159877,-0.0021840909435003318,-0.010752351686659542,-0.011071176603232005,-0.0006417366151631642,-0.05350040911281717,1.2235294117647058,0.001223529411764706,0.37254901960784315,0.4117647058823529,-0.5929222893615879,-0.9314511410724773,-1.0784405901435685,-0.5721542761997556,technical_only,baseline_equal_weight
2023,50,0.02296802498670287,0.021744024986702862,0.006716035744304651,0.015027989242398211,0.023499054806643646,-0.0005310298199407822,0.03514418434036138,1.2240000000000002,0.001224,0.58,0.5,1.5935301066011744,2.0635953814393764,1.746923915081653,-0.43700930136065796,technical_only,baseline_equal_weight
2024,51,0.022832146743279817,0.021467440860926876,0.00672999781050881,0.014737443050418061,0.01322665702356534,0.009605489719714474,0.013602488409276,1.3647058823529414,0.0013647058823529413,0.5294117647058824,0.49019607843137253,1.2712995996654008,1.471745840374736,1.1851353323396665,-0.3239977908879428,technical_only,baseline_equal_weight
2025,50,0.02180826569034338,0.02046426569034338,0.0069975887315371224,0.013466676958806257,0.003507907619457605,0.018300358070885772,0.06192128646922315,1.3439999999999999,0.001344,0.62,0.58,1.315175412539375,1.6783543366234028,1.3804730457689187,-0.3196439524616783,technical_only,baseline_equal_weight
2026,23,0.029773546118212476,0.02819963307473421,0.007780572057073414,0.020419061017660806,0.024082846190876216,0.005690699927336253,-0.005102897846645113,1.5739130434782609,0.0015739130434782613,0.6521739130434783,0.6521739130434783,2.536560034313159,2.5115747602009506,2.187933959444911,-0.139008262222601,technical_only,baseline_equal_weight
overall,276,0.011582030517867267,0.010466088488881756,0.005020820728455801,0.005445267760425954,0.010170374814478864,0.0014116557033883995,0.002866300119776227,1.1159420289855073,0.0011159420289855073,0.5253623188405797,0.4963768115942029,0.40480637216788007,0.8592130517775566,0.5655026691165711,-0.7915267262583356,technical_only,turnover_buffer
2021,51,0.0009256238113847003,-3.908207096824074e-05,0.005671978230031205,-0.005711060300999446,0.015545889483606877,-0.014620265672222172,-0.03745125688367744,0.9647058823529412,0.0009647058823529413,0.5490196078431373,0.47058823529411764,-0.1274298759457343,-0.003822794844405959,-0.6924356611811383,-0.4775970963962285,technical_only,turnover_buffer
2022,51,-0.01450385271695914,-0.015570519383625806,-0.0021840909435003318,-0.013386428440125475,-0.011071176603232005,-0.0034326761137271327,-0.05350040911281717,1.0666666666666667,0.001066666666666667,0.37254901960784315,0.4117647058823529,-0.6492813057623192,-1.0945340016043894,-1.2938777239244523,-0.6255793313937368,technical_only,turnover_buffer
