model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,top_n,covariance_lookback,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_pairwise_correlation,avg_max_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate,pareto_return_sharpe_drawdown
20,10,inverse_volatility,static_1x,,1.0,overall,139,0.7448254695982648,1.1697988080365898,2.502171915883131,-0.7527126684014007,0.9895216340388071,0.030244042140708135,0.002624454572086001,0.007458261943503612,1.2616649189693598,31.793955958027865,0.023426637143912847,0.0012616649189693596,0.0,1.0,1.0,1.0,0.0,0.0,0.5683453237410072,10,60,0.6515221734796005,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,legacy_risk_scaled,,1.0,overall,139,0.44280489120061395,1.1976540903513335,2.2581998914141455,-0.5216633114203608,0.8488327269843171,0.017139978451143335,0.002624454572086001,0.007458261943503612,0.6826397815167569,17.202522494222272,0.025740695374724065,0.0006826397815167569,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5683453237410072,10,60,0.36064458047490616,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.4112496478141332,1.183712285030707,2.5296071617332134,-0.4714223738544083,0.8723592061439609,0.015960760453889604,0.002624454572086001,0.007458261943503612,0.6604920689104412,16.64440013654312,0.0247079885391139,0.0006604920689104412,0.0,0.5223631256434021,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.33978794384784494,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.3876084852443318,1.1538021633596185,2.4373418834184335,-0.47142237385440844,0.8222106262695938,0.015180485423496497,0.002624454572086001,0.007458261943503612,0.644921878778043,16.25203134520668,0.023849848490395124,0.0006449218787780429,0.0,0.5097731975858483,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.33155444219155844,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.42643311827890207,1.1666504963613318,2.3561218867316733,-0.4972338925819906,0.8576107233249111,0.01667251183843804,0.002624454572086001,0.007458261943503612,0.6985386350343876,17.60317360286657,0.024224786274303405,0.0006985386350343877,0.0,0.5519190116705941,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.3601312472236001,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.4026614071814276,1.1403733273228163,2.279926123964732,-0.49535739996743977,0.8128704793910313,0.015872950037253915,0.002624454572086001,0.007458261943503612,0.6802408682021828,17.142069878695004,0.023489660818724976,0.0006802408682021828,0.0,0.5373206323342836,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.35076087045796656,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.4601256001729266,1.1534581499372591,2.239732252061084,-0.5383934804353783,0.8546269910267869,0.01814570592781998,0.002624454572086001,0.007458261943503612,0.771437896438469,19.44023499024942,0.02366872624758448,0.0007714378964384692,0.0,0.6096544787049161,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.39643552685976186,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,inverse_volatility,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.4305538958281012,1.1509044882748811,2.2469152659223828,-0.5119980301850473,0.8409288130903347,0.016952860213766793,0.002624454572086001,0.007458261943503612,0.73112575931837,18.424369134822925,0.0233687184987156,0.00073112575931837,0.0,0.5762565122098972,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.3711968123673597,9.410015757510605,0.13893429172878594,,,,0.0,False
20,10,shrinkage_min_variance,static_1x,,1.0,overall,139,0.7274809952770316,1.2147142685503336,2.6451564134193877,-0.6472088072636057,1.1240282689489596,0.028303290947170757,0.002624454572086001,0.007458261943503612,1.397964315430596,35.22870074885102,0.020650236307700288,0.001397964315430596,0.0,1.0,1.0,1.0,0.0,0.0,0.5755395683453237,10,60,0.5871693042018044,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_min_variance,legacy_risk_scaled,,1.0,overall,139,0.4249700401846881,1.2692472004914856,2.4756888055575703,-0.4026011920517798,1.0555608094921671,0.016100352195438233,0.002624454572086001,0.007458261943503612,0.7587750014392356,19.121130036268738,0.02222515297885689,0.0007587750014392355,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5755395683453237,10,60,0.3196610362173221,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_min_variance,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.4032276604807483,1.224197409514456,2.5556651016773593,-0.3913317435445247,1.030398548373498,0.01545575303924698,0.002624454572086001,0.007458261943503612,0.7517061291169287,18.942994453746604,0.021286373781363627,0.0007517061291169285,0.0,0.5365871513754644,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.31815536739577177,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_min_variance,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.3794402173578246,1.1943105365084012,2.4565734846101375,-0.39403488642559703,0.9629609723134801,0.01467058470922532,0.002624454572086001,0.007458261943503612,0.7334740285301219,18.483545518959072,0.020528540748235912,0.0007334740285301219,0.0,0.5236693871861068,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.30954992304874257,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,False
20,10,shrinkage_min_variance,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.4399291777337446,1.2092899947193032,2.391545290649994,-0.4320531088645947,1.0182293998296823,0.016943087650395216,0.002624454572086001,0.007458261943503612,0.8324316274579399,20.977277011940085,0.020971700830538717,0.0008324316274579399,0.0,0.5933795269982758,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.3530714805004779,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_min_variance,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.40702902406845176,1.1920025574424058,2.3402119233418213,-0.41905671373561937,0.9712981816710475,0.01576120318304956,0.002624454572086001,0.007458261943503612,0.795975598029992,20.058585070355797,0.02029201075952223,0.0007959755980299919,0.0,0.5677964206133725,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.333205929578754,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,False
20,10,shrinkage_min_variance,vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.49492478835388076,1.1998953087826134,2.3386506933514326,-0.4849321034678732,1.0206063587346503,0.01914571929170058,0.002624454572086001,0.007458261943503612,0.9395296712428317,23.67614771531936,0.020903940721473273,0.0009395296712428316,0.0,0.6697601751084551,0.5,1.0,0.0,0.9568345323741008,0.5755395683453237,10,60,0.4020951849877302,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_min_variance,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.4283095493267701,1.209590964085485,2.374792477527295,-0.4191209465449446,1.0219235112383966,0.016501483410731547,0.002624454572086001,0.007458261943503612,0.833840148495166,21.012771742078183,0.020383296148840664,0.0008338401484951661,0.0,0.5935438987009221,0.5,1.0,0.0,0.9928057553956835,0.5755395683453237,10,60,0.34378347251033753,7.174083472474396,0.17560313287870155,0.22467326081983738,0.5434715949715674,0.48639775841717386,0.0,True
20,10,shrinkage_risk_parity,static_1x,,1.0,overall,139,0.7102949751044814,1.1564898882132675,2.537940915769724,-0.7373271234995715,0.9633376454852391,0.028914186559980716,0.002624454572086001,0.007458261943503612,1.2551748593920968,31.630406456680838,0.022456081178636133,0.0012551748593920967,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,10,60,0.6300422586809047,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,legacy_risk_scaled,,1.0,overall,139,0.43228888336204396,1.209541737122075,2.332464327255095,-0.5047556017147616,0.8564320671102353,0.016667937016267703,0.002624454572086001,0.007458261943503612,0.6798981418991681,17.133433175859036,0.025230721649595476,0.000679898141899168,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,10,60,0.3472654145935882,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.3930795144892767,1.1661907020194113,2.533083940663842,-0.46044956786263536,0.8536863576914965,0.015330502408972041,0.002624454572086001,0.007458261943503612,0.6602700063049237,16.638804158884078,0.02362426474497549,0.0006602700063049236,0.0,0.524696497136837,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,60,0.33127400178814403,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.3707116458495967,1.1373285164945897,2.4377520880642747,-0.46069117105590207,0.8046858050262333,0.014583412303798006,0.002624454572086001,0.007458261943503612,0.644708019061457,16.246642080348717,0.022817739445247863,0.000644708019061457,0.0,0.5120808321576769,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,60,0.3231273855582237,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.4145672823731914,1.1506817632155453,2.3639728180897874,-0.4931145171647132,0.8407119805696474,0.01628768912006866,0.002624454572086001,0.007458261943503612,0.7121930543302324,17.947264969121857,0.023099189937099134,0.0007121930543302324,0.0,0.5646167592141121,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,60,0.3567013738696448,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.3918455503615397,1.1299407328347464,2.294897999726089,-0.48841685720137573,0.8022768759596285,0.015490463097209422,0.002624454572086001,0.007458261943503612,0.6906590357836888,17.404607701748958,0.022513897301009767,0.0006906590357836887,0.0,0.5476269952602697,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,60,0.34546915489130126,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.45450219534158687,1.1426868152470646,2.268953808272246,-0.536560639301046,0.8470658524890065,0.017983474618044386,0.002624454572086001,0.007458261943503612,0.7916403636802156,19.949337164741433,0.022782821884672767,0.0007916403636802156,0.0,0.627550572825204,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,10,60,0.3965947224802222,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_risk_parity,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.417584981207364,1.1445561579084111,2.2784957303041176,-0.4963134401476633,0.8413735100204499,0.01645957036373978,0.002624454572086001,0.007458261943503612,0.7327875252055713,18.466245635180396,0.022613420695098675,0.0007327875252055715,0.0,0.5808135795817488,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,10,60,0.36239477661299146,9.360155295677778,0.148505490850221,0.22467326081983738,0.5434715949715674,0.5193844668766391,0.0,False
20,10,shrinkage_max_diversification,static_1x,,1.0,overall,139,0.7541707872271484,1.2160074299359995,2.7585949748132568,-0.7286404681306051,1.0350382942111953,0.029511241459367312,0.002624454572086001,0.007458261943503612,1.348983611297145,33.99438700468805,0.022185156247210555,0.001348983611297145,0.0,1.0,1.0,1.0,0.0,0.0,0.5683453237410072,10,60,0.611577911834961,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,True
20,10,shrinkage_max_diversification,legacy_risk_scaled,,1.0,overall,139,0.4612679542797635,1.2988823614380745,2.6872862837399345,-0.47966959527814057,0.961636840901482,0.017316034385182248,0.002624454572086001,0.007458261943503612,0.7326873307904092,18.46372073591831,0.024982394441356453,0.0007326873307904093,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5683453237410072,10,60,0.33595349314272505,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,True
20,10,shrinkage_max_diversification,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.40750154181404863,1.2175271088581991,2.6971689651025113,-0.4609613409983234,0.884025417254092,0.01565493988609837,0.002624454572086001,0.007458261943503612,0.7130653421195495,17.969246621412648,0.022677719906657557,0.0007130653421195494,0.0,0.5272366757891264,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.32402110988694666,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,False
20,10,shrinkage_max_diversification,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.38379359882308206,1.1876842453225838,2.590487812428499,-0.46220679623296435,0.830350401489207,0.014874952382408475,0.002624454572086001,0.007458261943503612,0.6953249115222261,17.522187770360098,0.02190329220602769,0.000695324911522226,0.0,0.5144335425204273,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.31561317876611383,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,False
20,10,shrinkage_max_diversification,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.43592533657335775,1.2033709413697422,2.5281722306869976,-0.4960952930942919,0.8787129058499296,0.016831563054138465,0.002624454572086001,0.007458261943503612,0.7763469419110152,19.56394293615758,0.022282079742100027,0.0007763469419110152,0.0,0.573564288250813,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,10,60,0.3524726868354429,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,False
20,10,shrinkage_max_diversification,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.41317406681665503,1.1906593379821697,2.4926031857048314,-0.4883314401281902,0.8460935194100837,0.01601344720740009,0.002624454572086001,0.007458261943503612,0.7479311966781835,18.847866156290223,0.021921530182278152,0.0007479311966781835,0.0,0.5528856584532609,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,10,60,0.3389205096315512,7.787801396217991,0.17268790879118906,0.22467326081983738,0.5434715949715674,0.5044327717106313,0.0,False
