policy,observations,hac_lag,unadjusted_mean_net_excess_5d,factor_adjusted_alpha_5d,factor_adjusted_alpha_annualized_arithmetic,alpha_hac_standard_error,alpha_hac_t_stat,r_squared,share_mean_excess_remaining_after_factor_adjustment
baseline_equal_weight,276,3,0.00666584759254796,-0.002741277095755384,-0.13816036562607134,0.002719004045620293,-1.0081916208146022,0.5558602694010552,-0.41124209002617707
turnover_buffer_inverse_volatility_risk_scaled,276,3,0.003439720090138998,-0.0016716769252011652,-0.08425251703013872,0.0017005857143954132,-0.9830006867930644,0.4657438926289005,-0.4859921393003851
