model_horizon_days,rebalance_every_days,base_policy,test_year,rebalance_date,holdings,base_unlevered_gross_return,raw_universe_return,realized_return_ic,model_target_ic,risk_state,regime_is_confident,top_n,buffer_rank,covariance_lookback,risk_anchor,signal_blend,base_effective_n,base_max_weight,base_top3_weight_share,weighted_score_z,weight_score_correlation,covariance_observations,avg_pairwise_correlation,max_pairwise_correlation,ex_ante_annualized_volatility,optimizer_fallback,optimizer_reason
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-01-04,"AXTI,CVNA,EQT,NET,PLTR,QXO,SITM,STRL,THC,WDC",0.19722591661093747,0.07030973856078798,0.25833680457444064,0.22737856291916733,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.852812836388436,0.1592249221358741,0.4389755269079123,3.0000000000000004,,60,0.0747370259332639,0.2750610385754208,0.28021503090858685,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-01-19,"CDE,CVNA,HL,MP,MRNA,NET,PLTR,SNOW,W,WDC",0.0737165234755351,-0.010274998055037218,-0.09944960954464188,0.2417731730130608,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.567716908497902,0.18000000000000002,0.46879353612159724,2.855087683196807,-0.3260334962401822,60,0.1489595532220908,0.6808908488875026,0.3757967643705388,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-02-02,"CCJ,CDE,CVNA,ENPH,HL,INSM,MP,OXY,PAAS,PLTR",0.07547164755918175,0.058056854757281895,0.32937203498193474,0.17105479895492223,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.225427105199776,0.17999999999999997,0.45625837582621,2.8427846494222813,-0.6696266167835145,60,0.1432281114459301,0.7794679591248602,0.3850529911235741,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-02-17,"BE,CDE,CELH,CLSK,ENPH,HL,INSM,NTRA,PAAS,RVMD",-0.07326571525356382,-0.017086850018389037,0.045086684235397245,0.01581838817925182,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.835330831145753,0.18,0.5020378511464129,2.881036962614154,0.12304301620920209,60,0.17274358280402777,0.802938299091341,0.38042278091178383,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-03-03,"AXTI,CDE,CELH,CLSK,HL,MSTR,MXL,ONDS,W,WULF",0.03638304715936983,0.04286819959595054,-0.023320999873354235,-0.3167486979013101,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.064616868217826,0.18,0.4109284026140985,2.907106249636877,0.20319825504133474,60,0.13983260347892137,0.6822927219103897,0.4851159466361201,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-03-17,"AXTI,BE,CVNA,MSTR,MXL,ONDS,PLTR,RKLB,TWLO,W",-0.09203674854189195,-0.010537424443842812,-0.4245636738510876,-0.25777114827080255,risk_on,True,10,15,60,shrinkage_max_diversification,0.0,7.585571224510777,0.18,0.4836939149735618,2.708843706461603,-0.20791054379167537,60,0.21286320434849734,0.4443655916980294,0.47570307584426774,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-03-31,"AXTI,BE,CELH,ENPH,HIMS,HUT,MP,MSTR,ONDS,TSLA",-0.022142395906262772,0.03583900671621776,-0.03899371576334937,-0.13678027560331857,risk_on,True,10,15,60,shrinkage_max_diversification,0.0,7.65938214266418,0.18,0.54,2.957570161687719,-0.48239227474740065,60,0.27818841881106804,0.5347619308669636,0.6272728609805857,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-04-15,"AXTI,BE,CELH,CLSK,ENPH,HUT,MARA,MP,MSTR,QXO",-0.015282542392006045,0.008869373278152688,-0.14977533971793963,-0.3550078438848738,risk_on,True,10,15,60,shrinkage_max_diversification,0.0,7.356026536402297,0.18,0.5248817203427016,2.801157497130906,-0.08103853484930305,60,0.3344929676878847,0.7186400923036146,0.6469021361541112,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-04-29,"BE,CELH,CLSK,ENPH,HIMS,HUT,MSTR,ONDS,QXO,RIOT",-0.199255268722648,-0.03460121515501072,-0.304001814956624,-0.014429517717168508,risk_on,True,10,15,60,shrinkage_max_diversification,0.0,6.795039109679349,0.18,0.54,2.9611509784747625,-0.3882874426152925,60,0.28437959208487307,0.6777904643034492,0.5781427912840149,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-05-13,"CCJ,CDE,CELH,EQT,HL,MARA,MP,RIOT,SHOP,SITM",0.1755628897049795,0.04738176771365853,0.3740547651377887,0.38543294876363476,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.490816461579972,0.18,0.4988161180620451,2.923804778457362,-0.5184280277731852,60,0.2990643164490036,0.8847462125996447,0.44455158530005806,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-05-27,"BE,CCJ,CLSK,DASH,HIMS,HUT,MARA,ONDS,RIOT,SITM",-0.0050132280309094805,0.02033109660006305,0.15765067933687468,0.221701974905471,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.586003451498511,0.18,0.5194726242077454,2.896282582942025,-0.37038054841539325,60,0.40815001799286244,0.8750250560799142,0.5581006723748475,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-06-11,"AFRM,ASTS,CLSK,DASH,HIMS,HUT,MARA,ONDS,POET,RIOT",0.014821935814983629,0.0047539965984023744,-0.018855411686483012,-0.12474482022892026,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.095649966702163,0.18,0.5083907371720009,3.0,,60,0.2282158565856552,0.7454754338868148,0.4950004305220504,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-06-25,"AFRM,ASTS,AXTI,CLSK,HUT,MARA,MSTR,ONDS,POET,RIOT",0.06607530639583924,0.005006235888459096,-0.3303939101029276,-0.3845213329025605,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,6.804249619543493,0.18,0.4985380450527549,2.993848460119205,-0.38911003072617134,60,0.23656960623577036,0.7788178702447897,0.46823160854377577,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-07-12,"AXTI,BB,HUT,MARA,MSTR,OXY,POET,RBLX,RIOT,STRL",-0.045821504563044554,-0.004550332550037896,-0.42440856730260135,-0.24434032378922488,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.270506645628631,0.18,0.5162168853253524,2.9636175679002212,-0.6747949885516028,60,0.20227049818068482,0.8461623042819173,0.3611748226457428,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-07-26,"AA,ASTS,CCL,COIN,HUT,MARA,MSTR,NCLH,RIOT,TE",0.10305015145686003,0.016342206127531962,0.06646754373851718,-0.17801495266771503,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.3237296350402765,0.18,0.507348584533925,3.0,,60,0.19602658992008593,0.7965292684172393,0.35814715079950366,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-08-09,"AA,AFRM,ASTS,CCL,CLSK,DOCN,HIMS,JOBY,NCLH,RIOT",-0.028571994070532607,-0.002709470172841376,-0.3698986180113055,-0.09160786047325677,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.50288291981321,0.18,0.4553937115304714,2.98730786250857,-0.2817933896630291,60,0.09813968490533871,0.46661282146373884,0.3009905662447036,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-08-23,"AA,AFRM,ASTS,CLSK,DOCN,HIMS,JOBY,ONDS,RIOT,TE",0.12629888049495996,0.022358568293754644,0.2455596133686562,0.14392889544554638,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.506164924400675,0.13119353744723208,0.3709104743740623,2.979773342371602,-0.31459791478406085,60,0.045087783270591555,0.24372629630090215,0.3057388900174933,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-09-07,"APP,ASTS,CIFR,CLSK,HIMS,JOBY,ONDS,RIOT,SOFI,TE",-0.018488996128452163,-0.03279268938912169,-0.028896012938420687,0.05346622045751869,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.867663553640606,0.16596028489228123,0.4221384687437233,2.995386016715008,0.20735633161250425,60,0.03771090728268124,0.31138464093280865,0.26442174505876614,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-09-21,"APP,ASTS,AXTI,CIFR,CLSK,HUT,MARA,ONDS,RDW,WULF",-0.008922668118820174,0.008895212668288804,0.16470690600024102,0.19162832880431827,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.778433458760377,0.18000000000000002,0.4966214741701491,2.998279585890401,0.5627369566108738,60,0.12011120875915632,0.47297492867813923,0.3147572839609145,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-10-05,"APP,ASTS,AXTI,CIFR,CLSK,IONQ,MARA,ONDS,POET,RKLB",0.08377192657763105,0.044197449144180785,0.06836395559596606,0.16894520457524875,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.642371094000405,0.15459311658881122,0.42998438037312814,3.0,,60,0.06831723132210603,0.38059533030608406,0.2904483581702446,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-10-19,"AA,BB,BE,CIFR,IONQ,JOBY,ONDS,POET,RDW,RIOT",0.11894793059125823,0.0274391614111111,0.158929877660065,0.21699465291040262,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.740845934469803,0.1282842322301078,0.352766448255451,3.0,,60,0.045625418602201026,0.1645422970227506,0.2869117286593422,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-11-02,"AA,BB,CIFR,HIMS,JOBY,ONDS,PINS,RDW,RIOT,RKLB",0.029464433384580976,0.026244664085104744,0.09809047628619331,-0.1579223133021045,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,9.5348525165782,0.13598374210226108,0.3761885457965184,2.9705148579835154,0.00662469379426487,60,0.06769560287415383,0.21474422465427465,0.33646467391083845,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-11-16,"AA,AFRM,CELH,CIFR,CLSK,HIMS,MARA,QXO,RDW,SITM",-0.172603943480665,-0.07477096313389131,-0.3412867976119783,-0.41863314033748666,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.616068623595158,0.18,0.42886444189879536,2.9042494878699365,-0.20676466227030094,60,0.08515944256161626,0.3621961026566234,0.3587369806066162,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-12-01,"AAOI,AFRM,APP,DOCN,MARA,MRNA,QXO,RIOT,SITM,TOST",-0.05366061833774549,0.03206265906009462,-0.23531345890986713,-0.1961572969739614,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,8.438737155878226,0.1712882947910217,0.4554160913883097,2.9713382911304715,-0.5524559937423398,60,0.1606748048446234,0.5676273604514948,0.4113365488928194,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-12-15,"AFRM,MDB,MRNA,QXO,ROKU,SITM,SNOW,TE,WULF,ZS",-0.047283820035334385,0.02303781766939532,0.00578960142864443,-0.10045668547478893,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.709494570101528,0.17606728468941812,0.47895487397377323,2.9862892464577864,-0.2255858873847548,60,0.22618058221466872,0.510913302468157,0.4146213315938687,False,ok
20,10,signal_shrinkage_max_diversification_blend_0.00,2021,2021-12-30,"AFRM,CVNA,DOCN,IONQ,MDB,MRNA,ROKU,SITM,TE,WULF",-0.19896085265730085,-0.024185950728445975,-0.26275570849771385,-0.4713169939112061,risk_off,True,10,15,60,shrinkage_max_diversification,0.0,7.185853495049282,0.18,0.5361686745424328,2.783710178359764,0.003266900554249719,60,0.20449677404919298,0.5380907105491125,0.4216991728003823,False,ok
