model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate
5,5,equal_weight,static_1x,,1.0,overall,276,0.4868837125606149,0.9445171143896424,1.6547892544454263,-0.7683063224514699,0.6337104073373924,0.0116866683210037,0.0028663001197762,0.0028663001197762,1.297826086956522,65.4104347826087,0.0074435174476178,0.0012978260869565,0.0,1.0,1.0,1.0,0.0,0.0,0.5434782608695652
5,5,equal_weight,static_1x,,1.0,2021,51,-0.09684852177655,0.0605282186240108,0.0847556540308117,-0.4201896556184701,-0.2304876392875505,0.0006163422011122,-0.0374512568836774,-0.0374512568836774,1.2078431372549023,60.87529411764707,-0.0015909331228754,0.0012078431372549,0.0,1.0,1.0,1.0,0.0,0.0,0.5686274509803921
5,5,equal_weight,static_1x,,1.0,2022,51,-0.5929222893615879,-0.9314511410724772,-1.6667340747858228,-0.5721542761997556,-1.0362979252724864,-0.0129364426301598,-0.0535004091128171,-0.0535004091128171,1.2235294117647058,61.66588235294117,-0.0096150783340458,0.0012235294117647,0.0,1.0,1.0,1.0,0.0,0.0,0.3725490196078431
5,5,equal_weight,static_1x,,1.0,2023,50,1.5935301066011744,2.0635953814393764,4.562500115291051,-0.4370093013606579,3.646444370038832,0.0217440249867028,0.0351441843403613,0.0351441843403613,1.2240000000000002,61.689600000000006,0.0258314222592004,0.001224,0.0,1.0,1.0,1.0,0.0,0.0,0.58
5,5,equal_weight,static_1x,,1.0,2024,51,1.2712995996654008,1.471745840374736,2.715077445131899,-0.3239977908879428,3.9237909498743777,0.0214674408609268,0.013602488409276,0.013602488409276,1.3647058823529414,68.78117647058825,0.0184832488320263,0.0013647058823529,0.0,1.0,1.0,1.0,0.0,0.0,0.5294117647058824
5,5,equal_weight,static_1x,,1.0,2025,50,1.315175412539375,1.6783543366234028,2.722290142538614,-0.3196439524616783,4.1145011579627795,0.0204642656903433,0.0619212864692231,0.0619212864692231,1.344,67.73759999999999,0.0194157367922597,0.001344,0.0,1.0,1.0,1.0,0.0,0.0,0.62
5,5,equal_weight,static_1x,,1.0,2026,23,2.536560034313159,2.5115747602009506,7.2633948740113325,-0.139008262222601,18.24754869786975,0.0281996330747342,-0.0051028978466451,-0.0051028978466451,1.5739130434782609,79.32521739130435,0.0319767170860752,0.0015739130434782,0.0,1.0,1.0,1.0,0.0,0.0,0.6521739130434783
5,5,equal_weight,legacy_risk_scaled,,1.0,overall,276,0.3347122892096328,0.9742030340080896,1.5856734237652528,-0.542803491711094,0.6166362124062804,0.0070381483664617,0.0028663001197762,0.0028663001197762,0.6994202898550725,35.25078260869566,0.0094951732823958,0.000699420289855,0.0,0.5327898550724639,0.45,1.0,0.0,0.8731884057971014,0.5434782608695652
5,5,equal_weight,legacy_risk_scaled,,1.0,2021,51,-0.2323257455087883,-0.6041923433116555,-0.6203037062687918,-0.3859217497538643,-0.6020022081081531,-0.0040513432873452,-0.0374512568836774,-0.0374512568836774,0.6427450980392158,32.39435294117647,-0.0071717976874135,0.0006427450980392,0.0,0.5362745098039216,0.45,1.0,0.0,0.8431372549019608,0.5686274509803921
5,5,equal_weight,legacy_risk_scaled,,1.0,2022,51,-0.2903140723329307,-0.9314511410724772,-1.6667340747858228,-0.2854635699491564,-1.0169916686204064,-0.0058213991835719,-0.0535004091128171,-0.0535004091128171,0.5505882352941177,27.74964705882353,-0.0104619014331074,0.0005505882352941,0.0,0.45,0.45,0.45,0.0,1.0,0.3725490196078431
