policy,model,observations,predictors,mean_net_excess_5d,alpha_5d,alpha_annualized_arithmetic,alpha_hac_standard_error,alpha_hac_t_stat,r_squared,adjusted_r_squared,share_mean_excess_remaining
baseline_equal_weight,combined_full,276,8,0.00666584759254796,-0.002142585966747783,-0.10798633272408827,0.0028491839503084725,-0.7519998722847684,0.5871239931816337,0.5747531764979373,-0.3214273859400975
baseline_equal_weight,combined_drop_low_volatility,276,7,0.00666584759254796,-0.0028811294386225754,-0.14520892370657779,0.002909273042473994,-0.9903262418341161,0.5672032571637673,0.555898864627,-0.4322225191352282
baseline_equal_weight,combined_drop_beta,276,7,0.00666584759254796,-0.0018722787798032183,-0.09436285050208221,0.0028479669768993873,-0.6574088797341283,0.573526193512327,0.5623869522980968,-0.2808763257498296
baseline_equal_weight,combined_drop_beta_and_low_volatility,276,6,0.00666584759254796,-0.0027398679851399,-0.13808934645105098,0.0027919468419019943,-0.9813467591930884,0.5669890013631822,0.5573307634753721,-0.4110306974619278
turnover_buffer_inverse_volatility_risk_scaled,combined_full,276,8,0.003439720090138998,-0.0014692366705191192,-0.0740495281941636,0.001722504945475698,-0.852965139158637,0.49194181355703126,0.47671909636023824,-0.4271384391803078
turnover_buffer_inverse_volatility_risk_scaled,combined_drop_low_volatility,276,7,0.003439720090138998,-0.0018052360880181713,-0.09098389883611584,0.0017264934663546515,-1.0456084098770315,0.47881756454240887,0.4652045904819494,-0.5248206367702501
turnover_buffer_inverse_volatility_risk_scaled,combined_drop_beta,276,7,0.003439720090138998,-0.0013658143384427657,-0.06883704265751539,0.0017370546485650014,-0.7862817324550375,0.4856056516571493,0.47216997837953756,-0.39707136123031844
turnover_buffer_inverse_volatility_risk_scaled,combined_drop_beta_and_low_volatility,276,6,0.003439720090138998,-0.0018659167328449883,-0.0940422033353874,0.0017300656568256477,-1.078523653413595,0.47869172133413407,0.46706402738619646,-0.5424617945495638
