model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,risk_anchor,signal_blend,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_base_top3_weight_share,avg_weighted_score_z,avg_weight_score_correlation,avg_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate,pareto_return_sharpe_drawdown
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,overall,139,0.4612679542797635,1.2988823614380742,2.6872862837399345,-0.47966959527814057,0.961636840901482,0.017316034385182245,0.002624454572086001,0.007458261943503612,0.7326873307904092,18.46372073591831,0.024982394441356453,0.0007326873307904093,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5683453237410072,shrinkage_max_diversification,0.0,0.33595349314272505,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.25,legacy_risk_scaled,,1.0,overall,139,0.4821931404002764,1.2979167416746413,2.677658719022458,-0.4956375902744995,0.9728744345908527,0.018079924154375107,0.002624454572086001,0.007458261943503612,0.7068971688996881,17.81380865627214,0.027068503412407484,0.0007068971688996881,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,shrinkage_max_diversification,0.25,0.35103491160950373,8.577797050032226,0.156796885153891,0.43817246059090836,2.5111570446494844,0.0941154684158564,0.22467326081983738,0.5185603732794969,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.50,static_1x,,1.0,overall,139,0.827283937616798,1.2213529117028015,2.8885041805787917,-0.7488467773556451,1.1047439377894275,0.0323469579879137,0.002624454572086001,0.007458261943503612,1.2658262458203988,31.898821394674048,0.02593462395933301,0.001265826245820399,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,shrinkage_max_diversification,0.5,0.6674101592462396,9.182553643573641,0.1443784416457863,0.4013800783408094,2.5331168015491983,0.3257101961136781,0.22467326081983738,0.537659825909811,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.50,legacy_risk_scaled,,1.0,overall,139,0.5020322837139579,1.29013628783407,2.666237518864086,-0.5115277855040943,0.9814369775030327,0.018838989301734402,0.002624454572086001,0.007458261943503612,0.6859316288425334,17.285477046831843,0.029043588577497347,0.0006859316288425336,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,shrinkage_max_diversification,0.5,0.3679785886812956,9.182553643573641,0.1443784416457863,0.4013800783408094,2.5331168015491983,0.3257101961136781,0.22467326081983738,0.537659825909811,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.75,static_1x,,1.0,overall,139,0.8576436927327875,1.2145083990369627,2.930260843230835,-0.7589189414733579,1.130086028776362,0.03374439457094464,0.002624454572086001,0.007458261943503612,1.2446692443242655,31.36566495697149,0.027343392652740918,0.0012446692443242654,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,shrinkage_max_diversification,0.75,0.7001670337249968,9.465236861249156,0.13880844348116939,0.38088553872200903,2.5550765584489112,0.6467122891488583,0.22467326081983738,0.5610093965315415,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.75,legacy_risk_scaled,,1.0,overall,139,0.5206115195067917,1.277147085861856,2.63820394320446,-0.5273658795779892,0.9871922694797728,0.019589631428027852,0.002624454572086001,0.007458261943503612,0.6733891098512186,16.969405568250707,0.03067941993683277,0.0006733891098512185,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,shrinkage_max_diversification,0.75,0.38653238726467165,9.465236861249156,0.13880844348116939,0.38088553872200903,2.5550765584489112,0.6467122891488583,0.22467326081983738,0.5610093965315415,0.0,True
20,10,signal_shrinkage_min_variance_blend_0.00,static_1x,,1.0,overall,139,0.7274809952770316,1.2147142685503336,2.6451564134193877,-0.6472088072636057,1.1240282689489596,0.028303290947170757,0.002624454572086001,0.007458261943503612,1.397964315430596,35.22870074885102,0.020650236307700288,0.001397964315430596,0.0,1.0,1.0,1.0,0.0,0.0,0.5755395683453237,shrinkage_min_variance,0.0,0.5871693042018044,7.174083472474396,0.17560313287870155,0.5077901432406275,2.4616318193632636,-0.17908954200095736,0.22467326081983738,0.48639775841717386,0.0,True
20,10,signal_shrinkage_min_variance_blend_0.00,legacy_risk_scaled,,1.0,overall,139,0.4249700401846881,1.2692472004914856,2.4756888055575703,-0.4026011920517798,1.0555608094921671,0.016100352195438233,0.002624454572086001,0.007458261943503612,0.7587750014392356,19.121130036268738,0.02222515297885689,0.0007587750014392355,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5755395683453237,shrinkage_min_variance,0.0,0.3196610362173221,7.174083472474396,0.17560313287870155,0.5077901432406275,2.4616318193632636,-0.17908954200095736,0.22467326081983738,0.48639775841717386,0.0,True
20,10,signal_shrinkage_min_variance_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.4032276604807483,1.2241974095144559,2.5556651016773593,-0.3913317435445247,1.030398548373498,0.01545575303924698,0.002624454572086001,0.007458261943503612,0.7517061291169288,18.942994453746604,0.021286373781363627,0.0007517061291169285,0.0,0.5365871513754644,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,shrinkage_min_variance,0.0,0.3181553673957719,7.174083472474396,0.17560313287870155,0.5077901432406275,2.4616318193632636,-0.17908954200095736,0.22467326081983738,0.48639775841717386,0.0,True
20,10,signal_shrinkage_min_variance_blend_0.00,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.4399291777337446,1.209289994719303,2.391545290649994,-0.4320531088645947,1.0182293998296823,0.016943087650395216,0.002624454572086001,0.007458261943503612,0.8324316274579399,20.977277011940085,0.020971700830538717,0.0008324316274579399,0.0,0.5933795269982758,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,shrinkage_min_variance,0.0,0.35307148050047793,7.174083472474396,0.17560313287870155,0.5077901432406275,2.4616318193632636,-0.17908954200095736,0.22467326081983738,0.48639775841717386,0.0,True
