model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,risk_anchor,signal_blend,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_base_top3_weight_share,avg_weighted_score_z,avg_weight_score_correlation,avg_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,26,-0.04380319355020268,0.1689921872065033,0.2504921450480167,-0.40529206020698527,-0.10807809441870661,0.0034761714985932918,-0.04151941140090673,-0.054243463635006,1.119224385519764,28.204454515098053,-0.001553059412184501,0.0011192243855197642,0.0,1.0,1.0,1.0,0.0,0.0,0.46153846153846156,shrinkage_max_diversification,0.0,0.5183643292190012,8.039855676499492,0.17163828518757718,0.46991384258973584,2.933428467205038,-0.21823686659598934,0.17380466868719038,0.40869068955059806,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2022,26,-0.43723446434199564,-0.6259516085292335,-1.739494825479649,-0.507435170648622,-0.8616558126688514,-0.015486482202273812,-0.08470086902554524,-0.08391591623005151,1.2828862610591791,32.328733778691316,-0.01352463932967854,0.0012828862610591793,0.0,1.0,1.0,1.0,0.0,0.0,0.34615384615384615,shrinkage_max_diversification,0.0,0.6234656899664697,7.028370196831775,0.17918997560534486,0.5189375268317118,2.8128613874836534,0.07154275784487141,0.3670921797890567,0.6547714917599208,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2023,25,2.7402771044870224,2.128611314317508,8.180402822508789,-0.3038771172202983,9.017714560259025,0.06307778397423533,0.06177551873293561,0.057163221451042814,1.2624704443643007,31.814255197980376,0.08613362429622366,0.001262470444364301,0.0,1.0,1.0,1.0,0.0,0.0,0.6,shrinkage_max_diversification,0.0,0.7467592347456763,8.300276432690607,0.16463605858332592,0.45413779637134283,1.983723845190796,-0.058416729024354616,0.14423952224032185,0.535799910859869,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2024,26,0.8258201701791799,1.382498651401865,2.7776051193092988,-0.2505328461856504,3.296255092903981,0.029582671156601917,-0.017673314871082705,-0.00026514577724847207,1.373009761254082,34.59984598360286,0.023867741219730936,0.0013730097612540818,0.0,1.0,1.0,1.0,0.0,0.0,0.6153846153846154,shrinkage_max_diversification,0.0,0.5392289622781492,7.980894269475087,0.1713899819606724,0.4744259111266657,2.3183194328730474,-0.1380678396957927,0.17978276378678362,0.4414719189705843,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2025,25,3.106054844722376,3.2005018482220544,4.930618159304184,-0.17768525122601808,17.480656516456907,0.062039732657264916,0.09019189801549282,0.10917532406885332,1.5754735600641712,39.70193371361711,0.0782343466473788,0.0015754735600641712,0.0,1.0,1.0,1.0,0.0,0.0,0.8,shrinkage_max_diversification,0.0,0.4884862865589588,7.8655692797614245,0.1740146786078887,0.4846541228923804,2.4346295838000405,0.0027211590940921728,0.2325496518666765,0.5120517769956238,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2026,11,1.5474301158731238,1.587909809334784,3.2226964591764222,-0.25949849072739317,5.9631565159996285,0.04702211593532669,0.027895204049558718,0.04338840353177768,1.6733628414484252,42.168743604500314,0.03669613992739351,0.0016733628414484251,0.0,1.0,1.0,1.0,0.0,0.0,0.6363636363636364,shrinkage_max_diversification,0.0,0.7462371695194964,7.189193413639544,0.17815241641831417,0.5098688662732465,2.350885981440184,-0.0897063783458118,0.2792894529494215,0.43559786037106785,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2021,26,-0.17055111047625093,-0.4532265752640695,-0.5095404519795532,-0.3158263887878481,-0.5400153898818639,-0.005495499415736988,-0.04151941140090673,-0.054243463635006,0.6097996574515251,15.366951367778432,-0.011098565121632655,0.0006097996574515251,0.0,0.5346153846153846,0.45,1.0,0.0,0.8461538461538461,0.46153846153846156,shrinkage_max_diversification,0.0,0.3055570719697622,8.039855676499492,0.17163828518757718,0.46991384258973584,2.933428467205038,-0.21823686659598934,0.17380466868719038,0.40869068955059806,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2022,26,-0.1921969316409029,-0.6259516085292336,-1.7394948254796492,-0.26436502670378037,-0.7270134557407193,-0.006968916991023217,-0.08470086902554524,-0.08391591623005151,0.5772988174766306,14.54793020041109,-0.01321129047178628,0.0005772988174766307,0.0,0.44999999999999996,0.45,0.45,0.0,1.0,0.34615384615384615,shrinkage_max_diversification,0.0,0.2805595604849114,7.028370196831775,0.17918997560534486,0.5189375268317118,2.8128613874836534,0.07154275784487141,0.3670921797890567,0.6547714917599208,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2023,25,1.197835437127408,2.335853151768804,9.844084603158596,-0.14734005831970232,8.129733697595757,0.03415777620890626,0.06177551873293561,0.057163221451042814,0.6018867961889134,15.167547263960618,0.07897357537652556,0.0006018867961889135,0.0,0.486,0.45,0.75,0.0,1.0,0.6,shrinkage_max_diversification,0.0,0.3685060252236417,8.300276432690607,0.16463605858332592,0.45413779637134283,1.983723845190796,-0.058416729024354616,0.14423952224032185,0.535799910859869,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2024,26,0.6676622864379371,1.604420591842781,4.216501415911886,-0.11813268273645916,5.651799916602395,0.0228366599174794,-0.017673314871082705,-0.00026514577724847207,0.8965569830688168,22.593235973334185,0.029551423586508366,0.0008965569830688168,0.0,0.6423076923076922,0.45,1.0,0.0,0.6923076923076923,0.6153846153846154,shrinkage_max_diversification,0.0,0.35868638986956686,7.980894269475087,0.1713899819606724,0.4744259111266657,2.3183194328730474,-0.1380678396957927,0.17978276378678362,0.4414719189705843,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2025,25,1.704747242407302,3.380156988816799,7.364720061011726,-0.08050261617413201,21.176296168062798,0.042021862766364375,0.09019189801549282,0.10917532406885332,0.9735272440821224,24.532886550869485,0.06948824545666368,0.0009735272440821224,0.0,0.594,0.45,1.0,0.0,0.76,0.8,shrinkage_max_diversification,0.0,0.3132845442433314,7.8655692797614245,0.1740146786078887,0.4846541228923804,2.4346295838000405,0.0027211590940921728,0.2325496518666765,0.5120517769956238,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,2026,11,0.615413230070474,1.587909809334784,3.2226964591764222,-0.12114391945568226,5.080017493536759,0.02115995217089701,0.027895204049558718,0.04338840353177768,0.7530132786517914,18.975934622025143,0.032431247384050906,0.0007530132786517913,0.0,0.45,0.45,0.45,0.0,1.0,0.6363636363636364,shrinkage_max_diversification,0.0,0.3358067262837734,7.189193413639544,0.17815241641831417,0.5098688662732465,2.350885981440184,-0.0897063783458118,0.2792894529494215,0.43559786037106785,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,2021,26,0.07180542763093967,0.3640498246988521,0.6067702647867707,-0.2391994257101131,0.3001906355659942,0.005023027478175941,-0.04151941140090673,-0.054243463635006,0.7370597960997459,18.573906861713596,0.00386593020873558,0.0007370597960997459,0.0,0.6270358704819494,0.5,1.0,0.0,0.7692307692307693,0.46153846153846156,shrinkage_max_diversification,0.0,0.3477004625802058,8.039855676499492,0.17163828518757718,0.46991384258973584,2.933428467205038,-0.21823686659598934,0.17380466868719038,0.40869068955059806,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,2022,26,-0.21298847192428072,-0.6167378604216511,-1.717852254125809,-0.2898404543655987,-0.7348472882795771,-0.0076469963826486945,-0.08470086902554524,-0.08391591623005151,0.6432055667687874,16.208780282573443,-0.013140314583279975,0.0006432055667687875,0.0,0.5011398278595834,0.5,0.5151616023631521,0.0,1.0,0.34615384615384615,shrinkage_max_diversification,0.0,0.3124574008007212,7.028370196831775,0.17918997560534486,0.5189375268317118,2.8128613874836534,0.07154275784487141,0.3670921797890567,0.6547714917599208,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,2023,25,1.0586840239953332,2.128611314317508,8.180402822508789,-0.16260454356923004,6.510789924788239,0.031538891987117665,0.06177551873293561,0.057163221451042814,0.6312352221821503,15.907127598990188,0.06655406624528117,0.0006312352221821505,0.0,0.5,0.5,0.5,0.0,1.0,0.6,shrinkage_max_diversification,0.0,0.37337961737283815,8.300276432690607,0.16463605858332592,0.45413779637134283,1.983723845190796,-0.058416729024354616,0.14423952224032185,0.535799910859869,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,2024,26,0.40461078161122344,1.3896743569062604,2.809671710892055,-0.13081585429611098,3.092979698740171,0.014953762016226045,-0.017673314871082705,-0.00026514577724847207,0.6878890431504198,17.334803887390578,0.023340949470189238,0.0006878890431504198,0.0,0.5011174434168253,0.5,0.512049458405154,0.0,1.0,0.6153846153846154,shrinkage_max_diversification,0.0,0.27116770266080076,7.980894269475087,0.1713899819606724,0.4744259111266657,2.3183194328730474,-0.1380678396957927,0.17978276378678362,0.4414719189705843,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,2025,25,1.1720571121772982,3.1910753410095634,5.167550213618159,-0.08884262561300904,13.19250870953184,0.032479984402724864,0.09019189801549282,0.10917532406885332,0.8068435987940598,20.332458689610306,0.057644632657053343,0.0008068435987940599,0.0,0.5127963606941958,0.5,0.5748066483328412,0.0,1.0,0.8,shrinkage_max_diversification,0.0,0.2564952310683202,7.8655692797614245,0.1740146786078887,0.4846541228923804,2.4346295838000405,0.0027211590940921728,0.2325496518666765,0.5120517769956238,0.0
