model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,period,num_rebalances,annualized_net_return,net_sharpe,net_sortino,max_drawdown,calmar,avg_net_return,avg_realized_return_ic,avg_model_target_ic,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_financing_cost,avg_exposure,min_exposure,max_exposure,leveraged_period_share,deleveraged_period_share,net_hit_rate,risk_anchor,signal_blend,annualized_net_volatility,avg_base_effective_n,avg_base_max_weight,avg_base_top3_weight_share,avg_weighted_score_z,avg_weight_score_correlation,avg_pairwise_correlation,avg_ex_ante_annualized_volatility,optimizer_fallback_rate,pareto_return_sharpe_drawdown
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,overall,139,0.7541707872271484,1.2160074299359995,2.7585949748132568,-0.7286404681306051,1.0350382942111953,0.029511241459367312,0.002624454572086001,0.007458261943503612,1.348983611297145,33.99438700468805,0.022185156247210555,0.001348983611297145,0.0,1.0,1.0,1.0,0.0,0.0,0.5683453237410072,shrinkage_max_diversification,0.0,0.611577911834961,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,legacy_risk_scaled,,1.0,overall,139,0.4612679542797635,1.2988823614380742,2.6872862837399345,-0.47966959527814057,0.961636840901482,0.017316034385182245,0.002624454572086001,0.007458261943503612,0.7326873307904092,18.46372073591831,0.024982394441356453,0.0007326873307904093,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5683453237410072,shrinkage_max_diversification,0.0,0.33595349314272505,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.40750154181404863,1.2175271088581991,2.6971689651025113,-0.4609613409983234,0.884025417254092,0.01565493988609837,0.002624454572086001,0.007458261943503612,0.7130653421195495,17.969246621412648,0.022677719906657557,0.0007130653421195494,0.0,0.5272366757891264,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,shrinkage_max_diversification,0.0,0.32402110988694666,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.38379359882308206,1.1876842453225838,2.590487812428499,-0.46220679623296435,0.830350401489207,0.014874952382408475,0.002624454572086001,0.007458261943503612,0.6953249115222261,17.522187770360098,0.02190329220602769,0.000695324911522226,0.0,0.5144335425204273,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,shrinkage_max_diversification,0.0,0.31561317876611383,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.43592533657335775,1.2033709413697422,2.5281722306869976,-0.4960952930942919,0.8787129058499296,0.016831563054138465,0.002624454572086001,0.007458261943503612,0.7763469419110152,19.56394293615758,0.022282079742100027,0.0007763469419110152,0.0,0.573564288250813,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,shrinkage_max_diversification,0.0,0.3524726868354429,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,regime_dd_vol_target_30pct_max_1p25,0.3,1.25,overall,139,0.41317406681665503,1.1906593379821695,2.492603185704831,-0.4883314401281902,0.8460935194100837,0.016013447207400087,0.002624454572086001,0.007458261943503612,0.7479311966781835,18.847866156290223,0.021921530182278152,0.0007479311966781835,0.0,0.5528856584532609,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,shrinkage_max_diversification,0.0,0.3389205096315512,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.48864718161982723,1.1994044728190187,2.4642498845250818,-0.5480545815670568,0.8916031323424658,0.01892164687521914,0.002624454572086001,0.007458261943503612,0.8708082153193245,21.944367026046976,0.022267545062467514,0.0008708082153193244,0.0,0.643288363537926,0.5,1.0,0.0,0.9568345323741008,0.5683453237410072,shrinkage_max_diversification,0.0,0.3975518785041848,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.00,regime_dd_vol_target_35pct_max_1p25,0.35,1.25,overall,139,0.43751325847497613,1.2039749925878824,2.4837311309601864,-0.49181966032334357,0.889580660901876,0.01689743699264049,0.002624454572086001,0.007458261943503612,0.789480597614157,19.894911059876755,0.021991214595441698,0.0007894805976141569,0.0,0.5822694075295355,0.5,1.0,0.0,0.9928057553956835,0.5683453237410072,shrinkage_max_diversification,0.0,0.35367463181213754,7.787801396217991,0.17268790879118906,0.4829033439197823,2.489197287749771,-0.06588968792891048,0.22467326081983738,0.5044327717106313,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.25,static_1x,,1.0,overall,139,0.7926247709027052,1.2223397661950948,2.818601364601166,-0.7387569438866537,1.072916846957335,0.03093339988637087,0.002624454572086001,0.007458261943503612,1.3031047658284087,32.8382400988759,0.02413724878422574,0.0013031047658284087,0.0,1.0,1.0,1.0,0.0,0.0,0.5611510791366906,shrinkage_max_diversification,0.25,0.6377291312079658,8.577797050032226,0.156796885153891,0.43817246059090836,2.5111570446494844,0.0941154684158564,0.22467326081983738,0.5185603732794969,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.25,legacy_risk_scaled,,1.0,overall,139,0.4821931404002764,1.2979167416746413,2.677658719022458,-0.4956375902744995,0.9728744345908527,0.018079924154375107,0.002624454572086001,0.007458261943503612,0.7068971688996881,17.81380865627214,0.027068503412407484,0.0007068971688996881,0.0,0.5341726618705037,0.45,1.0,0.0,0.8705035971223022,0.5611510791366906,shrinkage_max_diversification,0.25,0.35103491160950373,8.577797050032226,0.156796885153891,0.43817246059090836,2.5111570446494844,0.0941154684158564,0.22467326081983738,0.5185603732794969,0.0,True
20,10,signal_shrinkage_max_diversification_blend_0.25,vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.4252894039158308,1.225010918602802,2.7684687929273997,-0.46667840972009356,0.9113115050060121,0.016289437146598914,0.002624454572086001,0.007458261943503612,0.6864605504140994,17.298805870435302,0.024584899507004467,0.0006864605504140993,0.0,0.5255440063117172,0.5,1.0,0.0,0.9568345323741008,0.5611510791366906,shrinkage_max_diversification,0.25,0.3350940059885224,8.577797050032226,0.156796885153891,0.43817246059090836,2.5111570446494844,0.0941154684158564,0.22467326081983738,0.5185603732794969,0.0,False
20,10,signal_shrinkage_max_diversification_blend_0.25,regime_dd_vol_target_25pct_max_1p25,0.25,1.25,overall,139,0.40157391237916995,1.1955467443887051,2.6631965041518173,-0.4677708481658269,0.8584842641515149,0.015519062833693975,0.002624454572086001,0.007458261943503612,0.6695986664750703,16.87388639517177,0.023798543084542444,0.0006695986664750702,0.0,0.5127632741728029,0.5,1.0,0.0,0.9928057553956835,0.5611510791366906,shrinkage_max_diversification,0.25,0.3271142556697367,8.577797050032226,0.156796885153891,0.43817246059090836,2.5111570446494844,0.0941154684158564,0.22467326081983738,0.5185603732794969,0.0,False
