policy,period,num_rebalances,annualized_net_return,annualized_net_volatility,net_sharpe,net_sortino,max_drawdown,calmar,expected_shortfall_95_return,worst_rebalance_return,ending_value_100k,maximum_underwater_days,avg_exposure,min_exposure,max_exposure,avg_cash_weight,avg_turnover,annualized_turnover,return_per_annual_turnover,avg_transaction_cost,avg_controller_transaction_cost,avg_financing_cost,leveraged_period_share,deleveraged_period_share,net_hit_rate,drawdown_budget_floor_ratio,drawdown_budget_cushion_multiplier,cash_turnover_bps,cash_proxy
drawdown_budget_77_m2.75,overall,139,0.3417778044594968,0.22611940217140164,1.417170057786541,2.8569513005057967,-0.22376031890071668,1.5274281254986275,-0.07913205038030016,-0.08871469338924039,506139.2250026653,1032,0.34710871418505895,0.02210544428587924,0.6325000000000001,0.652891285814941,0.5078047799855389,12.79668045563558,0.026708317492524395,0.0004895572419435229,1.8247538041985185e-05,0.0,0.0,1.0,0.5755395683453237,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,development_2021_2023,77,0.08544562499870656,0.17094546421561022,0.5634778492139688,0.9584398611502271,-0.22376031890071668,0.38186227754090357,-0.07236053655622607,-0.08871469338924039,128470.21288662091,1032,0.2349717951034078,0.02210544428587924,0.5942895987237604,0.7650282048965922,0.3109423402736646,7.835746974896347,0.010904592155981,0.0002893378118459787,2.1604528427661564e-05,0.0,0.0,1.0,0.4805194805194805,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,confirmation_2024_2026,62,0.7459377166489463,0.2713333717433178,2.2068765704362963,4.784786020956815,-0.12174267976738884,6.127166890643394,-0.07991263429398326,-0.08671267079984867,393973.9910366222,146,0.4863755330445287,0.338975404794613,0.6325000000000001,0.5136244669554713,0.7522952293051246,18.957839778489138,0.03934718962523031,0.0007382168567420857,1.407837256300001e-05,0.0,0.0,1.0,0.6935483870967742,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2021,26,-0.0478285234617144,0.2069792579178635,-0.13597308502250796,-0.18336370366822355,-0.18048248725465643,-0.2650036809068877,-0.08204119669271658,-0.08871469338924039,95069.11663493414,331,0.3928204641366131,0.18679773532563368,0.5914868572911596,0.6071795358633869,0.4870955765843573,12.274808529925805,-0.0038964781686907095,0.0004557812692259352,3.131430735837968e-05,0.0,0.0,1.0,0.5,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2022,26,-0.046256841178079156,0.0414554078542859,-1.1212142855298664,-1.246573690747705,-0.052808916189090116,-0.8759286218344211,-0.02071517987568272,-0.03281455042435915,95231.0264692854,362,0.05128344155253888,0.02210544428587924,0.16616259925126103,0.9487165584474611,0.08495500089055479,2.1408660224419807,-0.021606602511873328,7.442736805923353e-05,1.0527632831316222e-05,0.0,0.0,1.0,0.34615384615384615,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2023,25,0.4229852417801956,0.20343405983023913,1.8398434869910152,5.2088018863643075,-0.1402279631323582,3.016411508316275,-0.03856005431084053,-0.04119306300983791,141900.69408542474,157,0.2618450670017778,0.03676934761162475,0.5942895987237604,0.7381549329982221,0.3627698074689784,9.141799148218256,0.04626936502566191,0.00033974347770903877,2.3026329759913873e-05,0.0,0.0,1.0,0.6,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2024,26,0.48473275671482785,0.287271719710889,1.5214672732272483,3.074774697186785,-0.1115529104758296,4.3453169858786955,-0.07882653984653808,-0.08671267079984867,150347.92625635583,146,0.49862902894482003,0.36662790618844887,0.6325000000000001,0.5013709710551799,0.7009798654414143,17.66469260912364,0.027440769417321653,0.0006841721704515216,1.680769498985757e-05,0.0,0.0,1.0,0.6153846153846154,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2025,25,1.1767040858156923,0.24377313278802995,3.3538871450191334,8.471879032855425,-0.08089552038216907,14.545973377223747,-0.06120630548512048,-0.0808955203821692,216330.84412391507,57,0.4946893677640742,0.4461269943102993,0.6325000000000001,0.5053106322359259,0.8119999611536401,20.462399021071732,0.05750567587915513,0.0007991822052483438,1.2817755905248378e-05,0.0,0.0,1.0,0.8,0.77,2.75,5.0,BIL
drawdown_budget_77_m2.75,2026,11,0.5513936007765365,0.3035375295402453,1.5939102105445353,3.478246592304522,-0.12174267976738884,4.529172528730866,-0.08110193710068768,-0.08110193710068768,121129.9853790417,103,0.4385176456448733,0.338975404794613,0.45,0.5614823543551266,0.7378935169636311,18.594916627483503,0.02965292137753231,0.0007274012322782869,1.0492284685317658e-05,0.0,0.0,1.0,0.6363636363636364,0.77,2.75,5.0,BIL
drawdown_budget_77_m3,overall,139,0.36125556584114316,0.2347793135639636,1.434820241239307,2.952013135029277,-0.22537332605513538,1.602920683491912,-0.08031447141360644,-0.09312835157709942,548017.2173827864,1032,0.3539632447622556,0.01791833705378127,0.6900000000000002,0.6460367552377443,0.5199526117387003,13.102805815815248,0.027570855503719915,0.0005004294893018391,1.952312243683014e-05,0.0,0.0,1.0,0.5755395683453237,0.77,3.0,5.0,BIL
