factor,observations,mean_5d_return,annualized_arithmetic_return,annualized_sharpe,median_names_available,minimum_names_available
leverage,276,-0.0008154695900684192,-0.04109966733944833,-0.22410653018353532,348.0,299
quality,276,-0.006003126611196244,-0.30255758120429066,-1.3159696525904943,427.0,380
size,276,-0.008315876299318905,-0.41912016548567277,-1.7957695763286148,415.0,390
value,276,-0.001893772713653462,-0.09544614476813448,-0.488973060051001,392.0,364
