model_horizon_days,rebalance_every_days,base_policy,exposure_policy,target_volatility,leverage_cap,test_year,rebalance_date,base_unlevered_gross_return,portfolio_exposure,trailing_unlevered_annualized_vol,drawdown_before_rebalance,gross_return,transaction_cost,financing_cost,net_return,raw_universe_return,net_excess_vs_unlevered_universe,net_excess_vs_matched_exposure_universe,realized_return_ic,model_target_ic,turnover,risk_state,regime_is_confident,maximum_position_weight,holdings,risk_anchor,signal_blend
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-01-04,0.19722591661093747,1.0,,0.0,0.19722591661093747,0.001,0.0,0.19622591661093747,0.07030973856078798,0.12591617805014949,0.12591617805014949,0.25833680457444064,0.22737856291916733,1.0,risk_off,True,0.1592249221358741,"AXTI,CVNA,EQT,NET,PLTR,QXO,SITM,STRL,THC,WDC",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-01-19,0.0737165234755351,1.0,,0.0,0.0737165234755351,0.0013549766603186799,0.0,0.07236154681521642,-0.010274998055037218,0.08263654487025364,0.08263654487025364,-0.09944960954464188,0.2417731730130608,1.35497666031868,risk_off,True,0.18000000000000002,"CDE,CVNA,HL,MP,MRNA,NET,PLTR,SNOW,W,WDC",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-02-02,0.07547164755918175,1.0,,0.0,0.07547164755918175,0.0014675038291970368,0.0,0.0740041437299847,0.058056854757281895,0.01594728897270281,0.01594728897270281,0.32937203498193474,0.17105479895492223,1.4675038291970368,risk_off,True,0.17999999999999997,"CCJ,CDE,CVNA,ENPH,HL,INSM,MP,OXY,PAAS,PLTR",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-02-17,-0.07326571525356382,1.0,,0.0,-0.07326571525356382,0.0011471349495420008,0.0,-0.07441285020310581,-0.017086850018389037,-0.05732600018471677,-0.05732600018471677,0.045086684235397245,0.01581838817925182,1.1471349495420007,risk_off,True,0.18,"BE,CDE,CELH,CLSK,ENPH,HL,INSM,NTRA,PAAS,RVMD",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-03-03,0.03638304715936983,1.0,,-0.07441285020310573,0.03638304715936983,0.001516751471193061,0.0,0.03486629568817677,0.04286819959595054,-0.00800190390777377,-0.00800190390777377,-0.023320999873354235,-0.3167486979013101,1.516751471193061,risk_off,True,0.18,"AXTI,CDE,CELH,CLSK,HL,MSTR,MXL,ONDS,W,WULF",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-03-17,-0.09203674854189195,1.0,,-0.0421410549531106,-0.09203674854189195,0.0011890592082282215,0.0,-0.09322580775012017,-0.010537424443842812,-0.08268838330627735,-0.08268838330627735,-0.4245636738510876,-0.25777114827080255,1.1890592082282214,risk_on,True,0.18,"AXTI,BE,CVNA,MSTR,MXL,ONDS,PLTR,RKLB,TWLO,W",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-03-31,-0.022142395906262772,1.0,0.5374242987089419,-0.1314382288157847,-0.022142395906262772,0.0015017670282738268,0.0,-0.023644162934536597,0.03583900671621776,-0.059483169650754356,-0.059483169650754356,-0.03899371576334937,-0.13678027560331857,1.501767028273827,risk_on,True,0.18,"AXTI,BE,CELH,ENPH,HIMS,HUT,MP,MSTR,ONDS,TSLA",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-04-15,-0.015282542392006045,1.0,0.5029531218748332,-0.151974644852374,-0.015282542392006045,0.0009037874886218189,0.0,-0.016186329880627865,0.008869373278152688,-0.025055703158780553,-0.025055703158780553,-0.14977533971793963,-0.3550078438848738,0.9037874886218189,risk_on,True,0.18,"AXTI,BE,CELH,CLSK,ENPH,HUT,MARA,MP,MSTR,QXO",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-04-29,-0.199255268722648,1.0,0.4719114050291787,-0.16570106299793008,-0.199255268722648,0.0007368865242015342,0.0,-0.19999215524684955,-0.03460121515501072,-0.16539094009183883,-0.16539094009183883,-0.304001814956624,-0.014429517717168508,0.7368865242015342,risk_on,True,0.18,"BE,CELH,CLSK,ENPH,HIMS,HUT,MSTR,ONDS,QXO,RIOT",shrinkage_max_diversification,0.0
20,10,signal_shrinkage_max_diversification_blend_0.00,static_1x,,1.0,2021,2021-05-13,0.1755628897049795,1.0,0.5766842896503959,-0.33255430552912957,0.1755628897049795,0.0016752263704244352,0.0,0.17388766333455505,0.04738176771365853,0.1265058956208965,0.1265058956208965,0.3740547651377887,0.38543294876363476,1.6752263704244352,risk_off,True,0.18,"CCJ,CDE,CELH,EQT,HL,MARA,MP,RIOT,SHOP,SITM",shrinkage_max_diversification,0.0
