period,num_rebalances,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown
overall,276,0.005748906224742118,0.0046662975290899435,0.0032206925294704044,0.0014456049996195393,0.00386154860706454,0.0018873576176775776,0.006883398045242903,1.0826086956521739,0.001082608695652174,0.5652173913043478,0.5108695652173914,0.20225488620132626,0.7388699754621311,0.36239463175662173,-0.5022489201869706
2021,51,0.002721969675813594,0.0016004010483626134,0.005111739416626271,-0.003511338368263659,0.007244824426945069,-0.004522854751131476,-0.014626258657012064,1.1215686274509804,0.0011215686274509806,0.5686274509803921,0.47058823529411764,0.03650912374990667,0.26818214164497567,-0.8861624238223833,-0.16259799495833005
2022,51,-0.003961833124430107,-0.004895166457763438,-0.0018685006097452223,-0.0030266658480182173,-0.0026919533376156594,-0.0012698797868144452,-0.02952217173332146,0.9333333333333333,0.0009333333333333334,0.4117647058823529,0.47058823529411764,-0.3077184545191829,-0.4982216298791677,-0.4898507443590818,-0.3643245881945453
2023,50,0.01316764348142976,0.012019643481429759,0.0051866430174386646,0.006833000463991094,0.005570760868991288,0.007596882612438471,0.02475589315329614,1.148,0.0011480000000000004,0.64,0.58,0.7769110131548174,2.5260238746100767,2.200162238895937,-0.14910438323632724
2024,51,0.004215642763950763,0.0031960349208135065,0.0035126673720436877,-0.00031663245123018035,0.0023345472912375243,0.0018810954727132385,0.0024087264891724295,1.0196078431372553,0.001019607843137255,0.5294117647058824,0.43137254901960786,0.14954542268542093,0.7678825097765863,-0.12696510106965658,-0.09592428278362797
2025,50,0.011390169575046355,0.010206169575046354,0.0038683238858664985,0.006337845689179856,0.0028047772938969216,0.008585392281149433,0.0617477971564563,1.1840000000000002,0.0011840000000000002,0.68,0.62,0.5980131780709539,1.745839585873794,2.1809036782891624,-0.2725912080934497
2026,23,0.009001857396650962,0.00789750957056401,0.003983112080148342,0.003914397490415666,0.012858789999847343,-0.0038569326031963756,-0.012897467653972374,1.1043478260869566,0.001104347826086956,0.5652173913043478,0.4782608695652174,0.4456225772184679,1.6280906337402692,0.9405382089101604,-0.07297991653266922
