strategy,date,period,num_names,top_n,gross_top10_5d,net_top10_5d,universe_5d,net_excess_5d,bottom10_5d,long_short_5d,spearman_ic,turnover,transaction_cost,net_hit,excess_hit,top_tickers
return_1d_momentum,2018-01-09,2018,119,10,0.02934201585364727,0.02834201585364727,0.02142124800017354,0.0069207678534737305,0.03187691977160021,-0.002534903917952941,0.21281156530408776,1.0,0.001,True,True,"AMGN,DE,DHR,GE,GILD,JNJ,RCL,SCHW,TGT,TMO"
return_1d_momentum,2018-01-17,2018,119,10,0.003928891169104569,0.002128891169104569,0.011677316574750626,-0.009548425405646058,0.027315136285414033,-0.023386245116309462,-0.05676541803161943,1.8,0.0018000000000000002,True,False,"ADI,ANET,BMY,IBM,INTC,KLAC,MU,RCL,SHOP,TXN"
return_1d_momentum,2018-01-24,2018,119,10,0.0019481683496673807,0.0001481683496673805,0.0006290241774488008,-0.0004808558277814203,0.008003333814139951,-0.006055165464472571,0.01566016237003276,1.8,0.0018000000000000002,True,False,"AXP,CMCSA,DHR,GS,NEM,NFLX,NKE,RCL,VZ,WFC"
return_1d_momentum,2018-01-31,2018,119,10,-0.0651789289573359,-0.0671789289573359,-0.0527446976053721,-0.014434231351963804,-0.03737500496545231,-0.02780392399188359,-0.21256943455348243,2.0,0.002,False,False,"AMD,AVGO,EA,EQIX,MSFT,MU,PLD,SHOP,TMO,TTWO"
return_1d_momentum,2018-02-07,2018,119,10,-0.001026748498127531,-0.003026748498127531,0.009983726078076332,-0.013010474576203863,0.02714373810359883,-0.02817048660172636,-0.22588662583677543,2.0,0.002,False,False,"ABBV,ANET,BMY,GILD,LMT,NOW,RTX,TMUS,UAL,WMT"
return_1d_momentum,2018-02-14,2018,119,10,-0.00127367594502686,-0.00327367594502686,-0.00010510257716893687,-0.003168573367857923,0.003265835675590901,-0.004539511620617761,-0.08280159521435694,2.0,0.002,False,False,"AMD,BLK,CMG,COP,EOG,FCX,META,NEM,NVDA,SHOP"
return_1d_momentum,2018-02-22,2018,119,10,-0.02423508609370447,-0.02583508609370447,-0.005043473249304192,-0.02079161284440028,0.012939606440646461,-0.037174692534350934,-0.26261216350947164,1.6,0.0016,False,False,"ANET,CAT,COP,EQIX,FCX,LOW,PH,RTX,TGT,WMT"
return_1d_momentum,2018-03-01,2018,119,10,0.028969714562654215,0.026969714562654214,0.025518991497288052,0.0014507230653661614,0.03660494655900494,-0.007635231996350723,-0.16960546930636664,2.0,0.002,True,True,"CMCSA,CRM,KO,MPC,NEE,PSA,PSX,SO,TMUS,VZ"
return_1d_momentum,2018-03-08,2018,119,10,0.0033671182079065103,0.00156711820790651,0.004953123738228507,-0.0033860055303219973,0.0016963542345490707,0.0016707639733574396,-0.05713573565019229,1.8,0.0018000000000000002,True,False,"CMCSA,DAL,FTNT,JNJ,MU,PH,SHOP,SNPS,TTWO,UAL"
return_1d_momentum,2018-03-15,2018,119,10,-0.04582858067617561,-0.04782858067617561,-0.03215013312043846,-0.01567844755573715,-0.042854887698294764,-0.0029736929778808457,-0.02608602763139154,2.0,0.002,False,False,"AMD,AVGO,CAT,EA,IBM,MCD,SBUX,TT,UNH,XOM"
return_1d_momentum,2018-03-22,2018,119,10,0.0056809164731598406,0.0036809164731598405,-0.0034937010421434043,0.007174617515303245,-0.01416431848367288,0.01984523495683272,0.4135878080045578,2.0,0.002,True,True,"AEP,AMT,CMG,D,ED,EQIX,EXC,NEE,SRE,XEL"
return_1d_momentum,2018-03-29,2018,119,10,-0.025849461904892727,-0.02784946190489273,-0.013887229214788828,-0.013962232690103901,-0.0017795014458889008,-0.024069960459003826,-0.2333428286568865,2.0,0.002,False,False,"ANET,CRM,FCX,GOOGL,INTC,MELI,META,NFLX,NOW,NVDA"
return_1d_momentum,2018-04-06,2018,119,10,0.014496455925131022,0.012496455925131022,0.018670656618659263,-0.006174200693528241,0.031593708452336375,-0.017097252527205353,-0.28520865973508047,2.0,0.002,True,False,"ED,FTNT,NEM,OXY,SO,SRE,TGT,TMUS,WBD,XEL"
return_1d_momentum,2018-04-13,2018,120,10,0.022633643296417462,0.02103364329641746,0.011720141805959454,0.009313501490458008,0.027039971265788,-0.004406327969370537,-0.0038961038961038957,1.6,0.0016,True,True,"AEP,AVGO,COP,EXC,GE,KO,NEM,OXY,PSX,VLO"
return_1d_momentum,2018-04-20,2018,120,10,-0.014519050100366271,-0.01611905010036627,0.0030093203114627174,-0.019128370411828986,0.021594265608937298,-0.03611331570930357,-0.018077644280852834,1.6,0.0016,False,False,"ANET,DAL,GE,HON,OXY,RCL,SCHW,SPOT,UAL,WFC"
return_1d_momentum,2018-04-27,2018,120,10,-0.01047832001765594,-0.012078320017655941,-0.003522444353574883,-0.008555875664081058,-0.006592091185644952,-0.003886228832010988,-0.1260434752413362,1.6,0.0016,False,False,"AMZN,CVX,D,MSFT,NKE,SHOP,SPOT,TJX,UAL,VZ"
return_1d_momentum,2018-05-04,2018,120,10,0.032207944301024014,0.030207944301024012,0.024047505173220074,0.006160439127803938,0.0306939226433204,0.0015140216577036146,0.16698381832071668,2.0,0.002,True,True,"AAPL,AMD,CMCSA,EA,KLAC,MCD,MDLZ,QCOM,SBUX,TTWO"
return_1d_momentum,2018-05-11,2018,120,10,-0.00268762839279025,-0.00468762839279025,-0.004052365950096346,-0.0006352624426939043,0.007933001734218462,-0.010620630127008712,0.09138134592680047,2.0,0.002,False,False,"AMGN,DAL,HD,LLY,LOW,MRK,REGN,UNH,VRTX,VZ"
return_1d_momentum,2018-05-18,2018,120,10,0.0054484880197754205,0.00364848801977542,0.00745833633237504,-0.00380984831259962,0.02319364512050007,-0.01774515710072465,-0.03913466212931453,1.8,0.0018000000000000002,True,False,"AMD,CAT,DE,EQIX,ETN,HD,NOW,SHW,TMO,TTWO"
return_1d_momentum,2018-05-25,2018,120,10,0.005354754946712019,0.003554754946712019,0.009474305510320828,-0.005919550563608809,0.01771107188134015,-0.01235631693462813,-0.015091325786512951,1.8,0.0018000000000000002,True,False,"ANET,AVGO,DAL,INTC,ORCL,QCOM,RCL,SHW,SPOT,UAL"
return_1d_momentum,2018-06-04,2018,120,10,0.011755646347043331,0.009955646347043332,0.011013053333139143,-0.0010574069860958112,0.006162627520909329,0.005593018826134002,0.049774289881241746,1.8,0.0018000000000000002,True,False,"AMD,ANET,GILD,MELI,MRK,NVDA,SHOP,TGT,TJX,WMT"
return_1d_momentum,2018-06-11,2018,120,10,0.012166360531180835,0.010766360531180835,0.0017103759634143998,0.009055984567766434,0.019460909542763694,-0.007294549011582859,0.017681783457184526,1.4,0.0014,True,True,"AMD,CMG,COP,DAL,MELI,SRE,TGT,TT,UAL,WBD"
return_1d_momentum,2018-06-18,2018,120,10,-0.049869685747649835,-0.05126968574764983,-0.02300589530294302,-0.028263790444706813,-0.01068720642942301,-0.039182479318226826,-0.04213487047711646,1.4,0.0014,False,False,"ADBE,AMD,CMG,COP,CVX,EOG,GOOG,GOOGL,MPC,SHOP"
return_1d_momentum,2018-06-25,2018,120,10,0.005990221322988989,0.003990221322988989,0.0075682459977494025,-0.0035780246747604133,0.01405908891476712,-0.00806886759177813,-0.03018959649975693,2.0,0.002,True,False,"AEP,AXP,D,DUK,ED,NEE,PEG,SO,WMT,XEL"
return_1d_momentum,2018-07-02,2018,120,10,0.03209635496367218,0.030096354963672176,0.024693569963514777,0.005402785000157399,0.03019159096509743,0.0019047639985747475,-0.12672407806097646,2.0,0.002,True,True,"CMG,CRM,FTNT,ISRG,MU,NOW,NVDA,ORCL,PANW,SHOP"
return_1d_momentum,2018-07-10,2018,120,10,1.0135795604810684e-05,-0.0015898642043951894,0.004339122551794623,-0.005928986756189813,0.003451438774543041,-0.00344130297893823,-0.20866415838658853,1.6,0.0016,False,False,"ABBV,GE,LOW,MU,NVDA,PEP,SLB,SO,SPOT,WMT"
return_1d_momentum,2018-07-17,2018,120,10,-0.00446035932727086,-0.00606035932727086,0.00032712153218084907,-0.0063874808594517095,-0.018074216915223217,0.013613857587952357,0.08303716063135064,1.6,0.0016,False,False,"AMD,AVGO,JNJ,KLAC,MELI,NVDA,PEP,SCHW,SHOP,SHW"
return_1d_momentum,2018-07-24,2018,120,10,0.01317427922935363,0.01137427922935363,0.005779331207000081,0.00559494802235355,0.003675720653739352,0.00949855857561428,0.26630321550107644,1.8,0.0018000000000000002,True,True,"ABBV,BMY,DE,EOG,GOOG,GOOGL,JNJ,LLY,RTX,T"
