test_year,rebalance_date,gross_top10_5d_return,net_top10_5d_return,universe_5d_return,net_excess_vs_universe,bottom10_5d_return,long_short_5d_return,spearman_ic,turnover,transaction_cost,top10_holdings
2021,2021-01-04 05:00:00,0.1034109310964284,0.1024109310964284,0.0434918793862185,0.058919051710209905,0.07479653752459367,0.028614393571834734,0.1545975654621078,1.0,0.001,"OXY,ROKU,MELI,DIS,EOG,SPOT,MDB,PFE,CVX,HAL"
2021,2021-01-11 05:00:00,0.008015821167455809,0.007015821167455809,0.007119924451195948,-0.00010410328374013938,0.010884478935304302,-0.0028686577678484933,0.14512814203665,1.0,0.001,"OXY,UBER,DIS,ALB,ADBE,MDB,SHOP,SPOT,HAL,CHTR"
2021,2021-01-19 05:00:00,-0.05274748295101959,-0.05354748295101959,-0.009354049409845166,-0.04419343354117442,-0.011417945504580189,-0.0413295374464394,-0.20584811507235753,0.8,0.0008,"OXY,EOG,UBER,SHOP,HAL,MDB,CRWD,ADBE,FTNT,C"
2021,2021-01-26 05:00:00,0.047486806074077306,0.046486806074077305,0.0003148330049275367,0.04617197306914977,-0.03492412534367998,0.0824109314177573,0.3067475004110479,1.0,0.001,"OXY,NFLX,FCX,INTC,MELI,MDB,NET,HAL,CRWD,UBER"
2021,2021-02-02 05:00:00,0.05291106209761996,0.051511062097619964,0.026176283042161515,0.02533477905545845,0.04254801262987199,0.010363049467747971,0.191630208423291,1.4000000000000001,0.0014000000000000002,"OXY,WBD,LLY,NFLX,ALB,WFC,CRWD,ROKU,UAL,BLK"
2021,2021-02-09 05:00:00,0.04281713828388251,0.041417138283882514,0.0128229630897461,0.028594175194136415,-0.02430196096304913,0.06711909924693164,0.45786906196938504,1.4000000000000001,0.0014000000000000002,"OXY,UBER,EOG,INTC,NFLX,FCX,TMO,MELI,UAL,HAL"
2021,2021-02-17 05:00:00,-0.0092131154590205,-0.0098131154590205,0.0075403454610820765,-0.017353460920102575,-0.00887345221360577,-0.00033966324541472893,-0.003423109448736563,0.6000000000000001,0.0006000000000000001,"SHOP,NFLX,KLAC,MELI,UBER,HAL,INTC,NET,OXY,EOG"
2021,2021-02-24 05:00:00,-0.043781412432431575,-0.045181412432431574,-0.028686997237629793,-0.01649441519480178,-0.027938657508252234,-0.01584275492417934,-0.18529849207501956,1.4000000000000001,0.0014000000000000002,"WBD,REGN,KLAC,MELI,SPOT,NET,PYPL,ROKU,FCX,TMO"
2021,2021-03-03 05:00:00,0.005317122208232991,0.003517122208232991,0.017631202991230527,-0.014114080782997536,-0.036791687671308956,0.04210880987954195,-0.05601500953072583,1.8,0.0018000000000000002,"ABNB,EQIX,RCL,HAL,MU,NVDA,EOG,UAL,AMT,KLAC"
2021,2021-03-10 05:00:00,0.03775744119134611,0.03675744119134611,0.022263572945972344,0.014493868245373763,0.04987567360276111,-0.012118232411414999,-0.056011649501712966,1.0,0.001,"MDB,OXY,EOG,HAL,UAL,RCL,ABNB,ADBE,INTU,COST"
2021,2021-03-17 04:00:00,-0.07090405434483187,-0.07230405434483186,-0.02875180181031601,-0.043552252534515855,-0.022520331867957245,-0.04838372247687462,-0.533076168684636,1.4000000000000001,0.0014000000000000002,"ABNB,MDB,NET,HAL,UBER,NVDA,ALB,MELI,KLAC,CDNS"
