candidate,group,source_file,scope,num_periods,weak_period_count,weak_periods,avg_gross_top10_5d,avg_net_top10_5d,avg_universe_5d,avg_net_excess_5d,avg_bottom10_5d,avg_long_short_5d,avg_spearman_ic,avg_turnover,avg_transaction_cost,net_hit_rate,excess_hit_rate,annualized_net_return,net_sharpe,excess_sharpe,max_drawdown,accuracy,auc,avg_top5_5d_return,excess_top5_return,strategy_score,rank
surprise_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,7,"2018, 2019, 2020, 2021, 2022, 2025, 2026",0.004919869031266892,0.004879302993531043,0.0033797125168607304,0.0014995904766703116,0.002348425401382467,0.002571443629884424,0.004037753832239768,0.040566037735849055,4.056603773584906e-05,0.6061320754716981,0.535377358490566,0.25169653226597033,1.2103349810831638,0.8075373747689447,-0.31538903122571127,,,,,1.2409131561226183,1
liquidity_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,7,"2018, 2019, 2020, 2021, 2024, 2025, 2026",0.004408297551403566,0.004378580570271491,0.0033797125168607304,0.0009988680534107597,0.0019208454471627123,0.002487452104240854,0.0024196684488373144,0.029716981132075472,2.971698113207547e-05,0.6084905660377359,0.5306603773584906,0.2183221361576948,1.0417313464311408,0.5335327477955079,-0.31538903122571127,,,,,0.5966525959986955,2
growth_num_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,6,"2018, 2019, 2020, 2021, 2022, 2026",0.004373562171319637,0.004301864058112089,0.0033797125168607304,0.0009221515412513585,0.003996012220024094,0.0003775499512955422,0.0020896331824358182,0.07169811320754717,7.169811320754718e-05,0.6014150943396226,0.5117924528301887,0.21554787079629656,1.0558767438933094,0.5021373325162736,-0.315919435907427,,,,,-0.29501486171182645,3
macro_signal_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,8,"2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026",0.004308697490886782,0.004240301264471688,0.003379712516860731,0.0008605887476109561,0.0038406793992967455,0.00046801809159003596,-0.0018192838377774523,0.06839622641509434,6.839622641509434e-05,0.589622641509434,0.5283018867924528,0.20767870702160396,0.9675952043040288,0.43610783021854754,-0.31538903122571127,,,,,-0.8755030825996162,4
macro_tone_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,8,"2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026",0.0038263858002522636,0.003774027309686226,0.003379712516860731,0.00039431479282549465,0.004114675704110646,-0.00028828990385838273,-0.006607817368936604,0.05235849056603773,5.235849056603774e-05,0.5849056603773585,0.5188679245283019,0.17827248277022378,0.8411304001725501,0.19848826423606017,-0.31538903122571127,,,,,-1.8398677423296483,5
five_day_market_bias_score_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.003910477728356654,0.003876987162318919,0.003379712516860731,0.0004972746454581874,0.004463467842483152,-0.0005529901141264982,-0.010251128329063013,0.03349056603773585,3.3490566037735854e-05,0.5872641509433962,0.5212264150943396,0.18385794079558382,0.8562791826460405,0.2476971667443917,-0.31538903122571127,,,,,-2.1418740005578454,6
price_vs_ma50_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.003956453741451242,0.003210227326356902,0.003378480323897229,-0.00016825299754032695,0.005448577653779433,-0.0014921239123281904,-0.009879608073655214,0.7462264150943396,0.0007462264150943397,0.5825471698113207,0.49764150943396224,0.13926221922461757,0.6495252087845761,-0.042587991513767944,-0.37256135062042706,,,,,-3.3950861867511724,7
technical_plus_macro_combo,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,8,"2018, 2019, 2020, 2021, 2022, 2023, 2025, 2026",0.0035645068777338347,0.002460261594714966,0.0033797125168607304,-0.0009194509221457646,0.004528869983195646,-0.0009643631054618121,-0.012789080131207317,1.1042452830188678,0.0011042452830188681,0.5660377358490566,0.4811320754716981,0.102029982456179,0.5379586932897235,-0.24782658841810964,-0.4348608377555977,,,,,-3.7551144728420978,8
momentum_20d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.003372995379935947,0.002409787832766135,0.0033835563376240496,-0.0009737685048579142,0.004356182699492914,-0.0009831873195569666,-0.007130091207465671,0.9632075471698113,0.0009632075471698113,0.5613207547169812,0.47877358490566035,0.09167832121160124,0.46877189484562043,-0.24408208010361884,-0.44052922964331476,,,,,-4.021071022074054,9
relative_strength_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.003372995379935947,0.002409787832766135,0.0033835563376240496,-0.0009737685048579142,0.004356182699492914,-0.0009831873195569666,-0.007130091207465671,0.9632075471698113,0.0009632075471698113,0.5613207547169812,0.47877358490566035,0.09167832121160124,0.46877189484562043,-0.24408208010361884,-0.44052922964331476,,,,,-4.021071022074054,10
rsi_14d_only,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.0033797595840451404,0.0021274010934791026,0.0033870943023056287,-0.0012596932088265256,0.004203372920652957,-0.0008236133366078159,-0.009183455985660977,1.2523584905660377,0.0012523584905660375,0.5731132075471698,0.4858490566037736,0.09331631958869435,0.5689446779766139,-0.38264321701034903,-0.2771233639978893,,,,,-4.190662455440913,11
technical_combo,strategy_walkforward,strategy_walkforward_agent,top10_walkforward,9,9,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",0.002897694114349556,0.0017160903407646502,0.003379712516860731,-0.0016636221760960802,0.00471247351644413,-0.0018147794020945737,-0.014145672740620487,1.1816037735849056,0.001181603773584906,0.5731132075471698,0.4669811320754717,0.06109279236289944,0.3724506510302894,-0.4373603583238745,-0.4359299584065468,,,,,-5.252528608230785,12
