rank_by_market_cap,ticker,yahoo_symbol,company_name,sector,industry,market_cap,currency,source,fetch_error,snapshot_date
52,SCHW,SCHW,Charles Schwab Corporation (The,Financial Services,Capital Markets,176870075754.4796,USD,yfinance,,2026-07-08
53,TJX,TJX,"TJX Companies, Inc. (The)",Consumer Cyclical,Apparel Retail,168787784887.50107,USD,yfinance,,2026-07-08
54,GILD,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,168630029380.20935,USD,yfinance,,2026-07-08
55,DIS,DIS,Walt Disney Company (The),Communication Services,Entertainment,167920649401.3877,USD,yfinance,,2026-07-08
56,DE,DE,Deere & Company,Industrials,Farm & Heavy Construction Machinery,161082456358.39233,USD,yfinance,,2026-07-08
57,ETN,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,155149147052.00195,USD,yfinance,,2026-07-08
58,SHOP,SHOP,Shopify Inc.,Technology,Software - Application,154706384188.25104,USD,yfinance,,2026-07-08
59,BLK,BLK,"BlackRock, Inc.",Financial Services,Asset Management,153498137704.73383,USD,yfinance,,2026-07-08
60,UBER,UBER,"Uber Technologies, Inc.",Technology,Software - Application,149820084250.7224,USD,yfinance,,2026-07-08
61,ISRG,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,147012997875.83844,USD,yfinance,,2026-07-08
62,T,T,AT&T Inc.,Communication Services,Telecom Services,146748922026.47803,USD,yfinance,,2026-07-08
63,PFE,PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers - General,137071627916.11919,USD,yfinance,,2026-07-08
64,CRM,CRM,"Salesforce, Inc.",Technology,Software - Application,136429021499.63379,USD,yfinance,,2026-07-08
65,BKNG,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,135053557408.0091,USD,yfinance,,2026-07-08
66,DHR,DHR,Danaher Corporation,Healthcare,Diagnostics & Research,135021405536.71236,USD,yfinance,,2026-07-08
67,COP,COP,ConocoPhillips,Energy,Oil & Gas E&P,134889513942.2153,USD,yfinance,,2026-07-08
68,PLD,PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,131459658000.0,USD,yfinance,,2026-07-08
69,VRTX,VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,126504232136.3836,USD,yfinance,,2026-07-08
70,LMT,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,121728367545.7749,USD,yfinance,,2026-07-08
71,LOW,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,119346497099.13419,USD,yfinance,,2026-07-08
72,PH,PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,118411511117.2262,USD,yfinance,,2026-07-08
73,SBUX,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,118380642130.27954,USD,yfinance,,2026-07-08
74,BMY,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,117500781421.95206,USD,yfinance,,2026-07-08
75,FTNT,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,114813334272.51399,USD,yfinance,,2026-07-08
76,NOW,NOW,"ServiceNow, Inc.",Technology,Software - Application,111154374981.0791,USD,yfinance,,2026-07-08
77,SO,SO,Southern Company (The),Utilities,Utilities - Regulated Electric,108649276729.01506,USD,yfinance,,2026-07-08
78,TT,TT,Trane Technologies plc,Industrials,Building Products & Equipment,104402293121.23178,USD,yfinance,,2026-07-08
79,CDNS,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,103171732286.6211,USD,yfinance,,2026-07-08
