ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
LIN,COMMON_STOCK,NASDAQ,True,LIN,Linde plc,Linde plc,Basic Materials,Specialty Chemicals,243966797166.2567,USD,,2026-07-08
C,COMMON_STOCK,NYSE,True,C,"Citigroup, Inc.",Citigroup Inc.,Financial Services,Banks - Diversified,234329216806.44843,USD,,2026-07-08
AXP,COMMON_STOCK,NYSE,True,AXP,American Express Company,American Express Company,Financial Services,Credit Services,229527802155.78625,USD,,2026-07-08
ANET,COMMON_STOCK,NYSE,True,ANET,"Arista Networks, Inc.","Arista Networks, Inc.",Technology,Computer Hardware,227972630592.58017,USD,,2026-07-08
AMGN,COMMON_STOCK,NASDAQ,True,AMGN,Amgen Inc.,Amgen Inc.,Healthcare,Drug Manufacturers - General,198607242478.6714,USD,,2026-07-08
MCD,COMMON_STOCK,NYSE,True,MCD,McDonald's Corporation,McDonald's Corporation,Consumer Cyclical,Restaurants,197698255266.75,USD,,2026-07-08
QCOM,COMMON_STOCK,NASDAQ,True,QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,Technology,Semiconductors,196634237426.7578,USD,,2026-07-08
TMUS,COMMON_STOCK,NASDAQ,True,TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",Communication Services,Telecom Services,194948357059.85468,USD,,2026-07-08
PEP,COMMON_STOCK,NASDAQ,True,PEP,"Pepsico, Inc.","PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,194802749555.829,USD,,2026-07-08
CRWD,COMMON_STOCK,NASDAQ,True,CRWD,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,194609708621.6309,USD,,2026-07-08
TMO,COMMON_STOCK,NYSE,True,TMO,Thermo Fisher Scientific Inc,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,189575259755.00793,USD,,2026-07-08
