observation_number,rebalance_date,prior_rebalance_date,source_snapshot_generated_at_utc,source_snapshot_sha256,baseline_equity_exposure,shadow_equity_exposure,cash_weight,paper_nav_before,paper_nav_after,high_water_mark_after,equity_return_contribution,cash_return_contribution,turnover,modeled_cost,net_return,drawdown_after_rebalance,status
0,2026-08-11,,2026-08-12T04:22:16.220444+00:00,bfc597e34fdf1c60d8ec6b661400486264d41086a77c7d29f096830407db4962,0.75,0.66,0.3399999999999999,100000.0,99934.0,100000.0,0.0,0.0,0.66,0.00066,-0.0006599999999999,-0.0006599999999999,initialized_no_market_outcome
1,2026-08-25,2026-08-11,2026-08-25T22:57:10.639170+00:00,3c49339e34279bfb2f9aa577cf4ff4a5f319f60aac0f2de0a3b10fd9ebfc6c2b,0.75,0.5608729178254528,0.4391270821745472,99934.0,95848.52283701747,100000.0,-0.040489928132637,0.0004831310655627,0.9114194948934342,0.0009114194948934,-0.0408817535871927,-0.041514771629825,completed_interval
2,2026-09-09,2026-08-25,2026-09-11T00:23:44.010672+00:00,045f81af2ed07836aeb606bf39defe7b626fe88e6a82e9be53a1e9117fe2ea25,0.75,0.6524721362369901,0.3475278637630099,95848.52283701749,99574.9662601656,100000.0,0.0407341689566904,-0.0007668842957107761,1.0469750897420678,0.0010469750897420678,0.03887846481979307,-0.004250337398344017,completed_interval
